,x,y
0,304,261
1,297,218
2,304,231
3,289,175
4,296,204
5,296,187
6,302,144
7,223,138
8,302,111
9,300,94
10,299,25
11,304,268
12,306,272
13,307,274
14,309,274
15,309,279
16,309,284
17,311,291
18,315,300
19,299,224
20,291,223
21,187,89
22,258,152
23,246,152
24,234,152
25,220,144
26,268,149
27,238,118
28,252,119
29,226,120
30,219,124
31,213,152
32,276,317
33,219,134
34,188,144
35,201,143
36,248,205
37,289,259
38,294,271
39,276,263
40,268,266
41,284,271
42,277,271
43,260,281
44,287,217
45,285,205
46,200,112
47,271,173
48,265,213
49,266,207
50,215,203
51,286,189
52,223,100
53,208,104
54,192,66
55,275,110
56,265,124
57,251,271
58,220,259
59,274,221
60,285,225
61,261,271
62,267,271
63,201,95
64,267,220
65,244,101
66,240,90
67,229,34
68,197,80
69,235,62
70,195,106
71,191,98
72,291,267
73,280,268
74,273,269
75,279,223
76,264,271
77,269,274
78,269,271
79,278,216
80,281,271
81,288,272
82,297,273
83,300,300
84,296,289
85,296,283
86,296,277
87,297,274
88,279,272
89,278,273
90,275,276
91,273,280
92,259,251
93,203,198
94,301,226
95,275,272
96,272,272
97,289,231
98,272,227
99,287,228
100,260,180
101,241,189
102,265,212
103,205,48
104,210,67
105,218,89
106,271,289
107,268,92
108,263,59
109,259,28
110,225,149
111,201,162
112,275,146
113,209,128
114,279,165
115,270,208
116,192,170
117,208,171
118,221,177
119,243,175
120,260,170
121,271,164
122,291,147
123,195,197
124,200,126
125,293,223
126,272,186
127,192,142
128,280,156
129,266,213
130,217,136
131,271,200
132,210,228
133,275,141
134,278,193
135,234,289
136,242,301
137,194,198
138,221,273
139,189,119
140,277,326
141,297,226
142,262,195
143,193,144
144,234,144
145,244,146
146,266,276
147,201,222
148,301,342
149,270,327
150,257,316
151,299,59
152,324,345
153,255,145
154,266,144
155,271,142
156,193,123
157,264,129
158,253,124
159,242,122
160,231,125
161,225,129
162,187,112
163,228,141
164,304,241
165,267,245
166,273,218
167,288,241
168,304,127
169,249,304
170,263,315
171,296,335
172,230,283
173,271,136
174,283,168
175,321,337
176,284,335
177,201,226
178,287,273
179,285,275
180,284,279
181,284,285
182,284,295
183,271,272
184,267,271
185,263,269
186,252,261
187,212,230
188,286,155
189,281,131
190,276,134
191,274,271
192,218,258
193,289,130
194,280,306
195,299,172
196,289,162
197,300,158
198,276,189
199,318,326
200,317,312
201,298,312
202,252,285
203,257,223
204,266,297
205,232,220
206,247,235
207,225,239
208,295,325
209,271,196
210,247,292
211,262,304
212,241,271
213,208,242
214,230,271
215,210,250
216,241,251
217,278,177
218,273,214
219,268,218
220,276,205
221,271,120
222,249,114
223,232,112
224,218,114
225,210,119
226,210,139
227,190,170
228,218,157
229,229,162
230,245,162
231,260,160
232,271,156
233,279,152
234,199,170
235,270,221
236,281,180
237,280,215
238,289,221
239,282,217
240,274,226
241,290,222
242,294,225
243,279,142
244,284,144
245,286,147
246,222,132
247,215,129
248,310,175
249,410,139
250,314,223
251,468,86
252,369,152
253,383,153
254,397,153
255,415,144
256,357,150
257,385,115
258,370,117
259,400,118
260,410,122
261,426,152
262,367,319
263,415,134
264,474,144
265,443,143
266,376,207
267,320,260
268,321,272
269,339,264
270,352,269
271,334,273
272,345,274
273,375,285
274,308,218
275,309,204
276,431,109
277,348,173
278,345,215
279,347,208
280,420,205
281,309,188
282,393,96
283,415,100
284,449,62
285,331,108
286,357,122
287,384,274
288,470,265
289,337,222
290,325,226
291,368,275
292,363,274
293,423,91
294,347,221
295,365,98
296,367,86
297,382,30
298,435,76
299,372,58
300,441,103
301,454,95
302,320,268
303,336,269
304,349,272
305,334,224
306,365,275
307,360,276
308,362,274
309,327,217
310,344,273
311,333,274
312,321,274
313,332,301
314,327,290
315,324,284
316,324,278
317,323,274
318,347,274
319,349,276
320,351,278
321,354,281
322,364,254
323,484,201
324,355,274
325,357,275
326,321,231
327,344,228
328,323,228
329,363,181
330,385,190
331,351,213
332,422,43
333,409,63
334,397,84
335,363,292
336,333,90
337,337,58
338,342,26
339,409,150
340,442,162
341,349,146
342,426,127
343,337,165
344,334,210
345,459,171
346,431,172
347,411,177
348,384,175
349,365,170
350,350,164
351,316,147
352,457,199
353,438,124
354,305,223
355,345,186
356,485,143
357,339,157
358,354,215
359,420,135
360,337,200
361,480,233
362,349,141
363,323,193
364,431,296
365,435,308
366,476,201
367,449,279
368,465,117
369,372,330
370,306,226
371,359,196
372,457,145
373,395,144
374,383,147
375,363,279
376,455,225
377,350,345
378,393,332
379,412,323
380,371,145
381,360,143
382,352,142
383,450,122
384,362,129
385,374,123
386,387,122
387,400,124
388,407,129
389,479,111
390,403,142
391,351,247
392,336,219
393,322,243
394,411,310
395,393,321
396,348,338
397,454,290
398,353,136
399,324,169
400,372,340
401,473,230
402,336,274
403,337,276
404,339,280
405,342,286
406,350,297
407,356,274
408,359,274
409,363,272
410,375,264
411,433,233
412,327,155
413,337,131
414,346,132
415,355,273
416,439,262
417,322,129
418,359,309
419,314,162
420,334,189
421,337,314
422,390,290
423,365,225
424,376,301
425,399,222
426,380,237
427,413,242
428,344,327
429,344,197
430,403,298
431,385,309
432,400,276
433,454,246
434,420,276
435,465,255
436,391,253
437,335,177
438,330,215
439,341,219
440,322,206
441,346,119
442,367,111
443,388,109
444,405,111
445,418,117
446,431,139
447,477,173
448,419,159
449,403,162
450,385,163
451,367,160
452,353,156
453,344,152
454,485,172
455,342,223
456,322,180
457,319,215
458,313,221
459,320,218
460,339,226
461,310,223
462,311,225
463,344,142
464,335,144
465,329,146
466,412,132
467,418,127
