,x,y
0,305,228
1,304,187
2,304,201
3,292,148
4,304,174
5,303,158
6,302,122
7,221,124
8,300,97
9,300,82
10,299,25
11,306,234
12,306,239
13,306,240
14,306,263
15,306,269
16,306,275
17,305,283
18,305,294
19,304,194
20,294,194
21,180,87
22,253,132
23,243,134
24,232,134
25,217,129
26,262,129
27,237,106
28,249,106
29,227,108
30,219,113
31,208,138
32,260,307
33,217,122
34,176,137
35,195,130
36,245,181
37,289,227
38,292,239
39,273,231
40,263,237
41,280,240
42,272,243
43,250,262
44,295,187
45,292,175
46,201,101
47,268,151
48,267,186
49,266,180
50,211,182
51,292,160
52,227,87
53,211,91
54,191,63
55,277,96
56,260,109
57,241,248
58,189,251
59,276,192
60,286,196
61,252,248
62,258,248
63,204,84
64,267,191
65,248,87
66,246,77
67,235,32
68,198,72
69,242,53
70,194,96
71,187,91
72,290,234
73,278,237
74,268,240
75,279,195
76,255,248
77,261,256
78,260,248
79,282,188
80,274,242
81,283,241
82,294,240
83,287,293
84,288,282
85,290,274
86,291,267
87,293,262
88,272,257
89,270,259
90,267,263
91,264,265
92,254,224
93,177,192
94,304,197
95,267,255
96,263,254
97,290,201
98,271,199
99,288,198
100,256,158
101,237,166
102,264,185
103,207,45
104,215,60
105,223,77
106,259,273
107,272,79
108,269,52
109,264,26
110,222,133
111,195,146
112,269,126
113,207,116
114,277,143
115,274,180
116,184,155
117,203,154
118,218,156
119,239,154
120,255,148
121,268,143
122,291,126
123,185,180
124,197,114
125,298,194
126,269,163
127,174,138
128,277,136
129,263,186
130,212,123
131,273,173
132,180,221
133,268,122
134,282,165
135,211,278
136,212,294
137,176,187
138,198,261
139,181,113
140,258,322
141,300,197
142,259,171
143,185,134
144,232,126
145,242,127
146,257,257
147,188,206
148,279,341
149,244,322
150,229,310
151,300,52
152,304,344
153,252,126
154,260,123
155,265,122
156,189,113
157,258,116
158,249,114
159,239,114
160,230,116
161,224,119
162,175,110
163,226,125
164,305,210
165,265,217
166,276,190
167,287,212
168,301,110
169,227,295
170,241,308
171,279,332
172,201,277
173,265,119
174,284,145
175,305,334
176,260,333
177,179,214
178,281,260
179,279,264
180,277,269
181,275,275
182,270,285
183,264,245
184,260,243
185,256,242
186,245,234
187,203,210
188,284,134
189,277,113
190,270,116
191,267,244
192,202,242
193,287,113
194,265,296
195,302,146
196,292,138
197,302,135
198,276,163
199,305,321
200,305,306
201,284,305
202,239,267
203,254,197
204,250,282
205,228,197
206,244,209
207,219,218
208,280,319
209,270,172
210,229,279
211,245,294
212,230,250
213,191,227
214,217,255
215,186,240
216,235,226
217,276,154
218,278,186
219,270,189
220,283,177
221,268,105
222,250,99
223,234,99
224,220,101
225,211,106
226,205,128
227,174,162
228,214,142
229,226,144
230,241,143
231,255,140
232,266,136
233,273,131
234,175,165
235,271,193
236,284,155
237,287,186
238,293,192
239,287,188
240,275,197
241,295,193
242,296,196
243,272,122
244,279,125
245,282,126
246,219,121
247,213,117
248,312,147
249,380,123
250,314,193
251,421,85
252,349,132
253,361,133
254,372,132
255,386,128
256,340,129
257,363,106
258,352,107
259,374,108
260,381,112
261,395,135
262,349,307
263,385,121
264,428,135
265,407,129
266,361,179
267,321,225
268,320,238
269,337,228
270,346,233
271,330,238
272,338,240
273,360,258
274,313,187
275,314,174
276,399,102
277,336,150
278,340,183
279,340,178
280,394,178
281,312,160
282,372,88
283,388,92
284,410,62
285,323,96
286,342,110
287,367,242
288,417,249
289,332,190
290,322,194
291,357,243
292,351,243
293,394,85
294,340,189
295,351,88
296,354,79
297,364,31
298,402,73
299,358,53
300,405,96
301,414,91
302,321,232
303,333,234
304,343,236
305,329,192
306,355,244
307,350,252
308,349,243
309,326,186
310,336,239
311,328,238
312,318,239
313,323,292
314,322,281
315,322,273
316,321,265
317,319,261
318,338,255
319,340,256
320,344,259
321,346,264
322,354,221
323,428,190
324,343,250
325,346,251
326,319,200
327,337,197
328,321,197
329,348,156
330,367,164
331,342,183
332,392,44
333,384,60
334,377,79
335,351,272
336,327,79
337,330,51
338,335,26
339,380,131
340,407,145
341,334,126
342,395,115
343,329,141
344,332,180
345,419,154
346,399,151
347,385,154
348,364,152
349,348,147
350,337,142
351,312,125
352,418,177
353,404,114
354,310,193
355,336,161
356,431,137
357,328,135
358,344,184
359,389,122
360,332,172
361,424,219
362,334,122
363,322,164
364,395,274
365,393,291
366,429,184
367,407,259
368,421,111
369,352,321
370,309,197
371,346,170
372,417,133
373,370,125
374,360,126
375,353,253
376,417,202
377,330,341
378,364,321
379,378,308
380,351,125
381,342,124
382,337,123
383,412,113
384,343,116
385,353,115
386,362,114
387,371,116
388,378,119
389,427,108
390,376,124
391,343,214
392,332,189
393,321,210
394,380,292
395,366,307
396,331,332
397,406,274
398,337,120
399,321,144
400,349,333
401,426,212
402,329,257
403,332,262
404,335,267
405,337,273
406,339,283
407,346,240
408,350,240
409,354,237
410,363,230
411,403,206
412,321,133
413,325,113
414,332,116
415,343,240
416,404,238
417,315,112
418,344,294
419,312,137
420,329,162
421,326,303
422,369,264
423,353,194
424,357,281
425,379,193
426,363,206
427,387,214
428,329,317
429,336,170
430,378,275
431,363,292
432,377,246
433,414,223
434,390,250
435,419,237
436,372,222
437,328,152
438,329,184
439,337,188
440,324,176
441,333,105
442,351,100
443,366,99
444,380,102
445,389,106
446,397,126
447,429,159
448,389,139
449,378,142
450,363,142
451,348,139
452,338,136
453,330,130
454,429,163
455,337,190
456,321,154
457,321,185
458,315,191
459,321,187
460,333,195
461,313,192
462,312,195
463,330,121
464,324,124
465,321,126
466,381,121
467,388,116
