col_a,col_b,pvalue
0,01-00_1,2
0,01-00_3,2
0,01-00_4,2
0,01-00_5,2
0,02-00_2,2
0,03-00_1,2
0,03-00_3,2
0,03-00_4,2
0,03-00_5,2
0,04-00_1,2
0,04-00_3,2
0,04-00_4,2
0,05-00_1,2
0,05-00_2,2
0,05-00_3,3
0,05-00_4,2
0,05-00_5,3
0,05-01_1,3
0,05-01_3,1
0,05-01_4,5
0,05-01_5,1
0,06-00_1,1
0,06-00_4,1
0,06-01_2,3
0,06-01_4,1
0,07-00_0,2
0,07-00_1,2
0,07-00_5,2
0,07-01_1,1
0,07-01_3,1
0,07-01_4,2
0,07-01_5,1
0,age,11
0,asrsa_score,9
0,asrsb_score,8
0,bai_score,10
0,dbi_score,11
0,oci_score,9
0,sqr_score,11
1,01-00_0,1
1,01-00_2,1
1,02-00_0,1
1,03-01_0,2
1,04-00_0,1
1,05-00_0,4
1,05-00_1,1
1,05-00_2,1
1,05-00_3,2
1,05-00_4,1
1,05-00_5,1
1,05-01_0,1
1,05-01_2,1
1,05-01_3,1
1,05-01_5,2
1,06-00_1,1
1,06-00_2,4
1,06-00_3,2
1,06-00_4,2
1,06-01_0,1
1,06-01_2,2
1,07-00_0,1
1,07-01_3,1
1,07-01_4,1
1,age,9
1,asrsa_score,5
1,asrsb_score,9
1,bai_score,9
1,dbi_score,6
1,oci_score,7
1,sqr_score,9
2,01-00_0,1
2,02-00_0,1
2,02-00_3,1
2,03-00_0,1
2,03-00_1,1
2,03-00_3,1
2,03-00_4,1
2,03-00_5,2
2,03-01_0,1
2,05-00_0,2
2,05-00_1,2
2,05-00_2,1
2,05-00_3,1
2,05-00_4,2
2,05-00_5,1
2,07-00_0,1
2,07-01_0,1
2,07-01_1,1
2,07-01_3,1
2,07-01_4,1
2,07-01_5,1
2,age,7
2,asrsa_score,9
2,asrsb_score,5
2,bai_score,8
2,dbi_score,8
2,oci_score,10
2,sqr_score,11
3,01-00_0,1
3,03-00_2,1
3,03-01_0,1
3,04-00_0,1
3,05-00_0,3
3,05-00_1,1
3,05-00_2,1
3,05-00_3,2
3,05-00_4,3
3,05-00_5,1
3,05-01_0,1
3,05-01_1,1
3,05-01_2,1
3,05-01_3,1
3,05-01_4,2
3,05-01_5,2
3,06-00_2,2
3,06-00_4,1
3,06-01_2,2
3,07-00_0,1
3,07-01_0,1
3,07-01_1,1
3,07-01_2,1
3,07-01_3,1
3,07-01_4,2
3,07-01_5,1
3,age,7
3,asrsa_score,9
3,asrsb_score,8
3,bai_score,8
3,dbi_score,7
3,oci_score,8
3,sqr_score,9
4,01-00_0,1
4,01-00_2,1
4,02-00_0,1
4,03-00_2,1
4,03-01_0,1
4,04-00_0,1
4,04-01_0,4
4,05-00_0,4
4,05-00_1,1
4,05-00_2,1
4,05-00_3,3
4,05-00_4,2
4,05-00_5,2
4,05-01_0,2
4,05-01_3,2
4,05-01_4,2
4,05-01_5,2
4,06-00_1,1
4,06-00_2,1
4,06-00_3,2
4,06-00_4,1
4,06-01_2,1
4,07-01_0,1
4,07-01_1,1
4,07-01_2,2
4,07-01_3,1
4,07-01_4,3
4,07-01_5,1
4,age,7
4,asrsa_score,10
4,asrsb_score,11
4,bai_score,11
4,dbi_score,9
4,oci_score,11
4,sqr_score,9
5,01-00_0,1
5,01-00_2,1
5,03-00_2,1
5,03-01_0,2
5,04-00_0,1
5,05-00_0,2
5,05-00_3,2
5,05-00_5,1
5,05-01_0,1
5,05-01_3,1
5,06-00_2,1
5,07-00_0,1
5,07-01_2,1
5,07-01_4,2
5,age,9
5,asrsa_score,5
5,asrsb_score,8
5,bai_score,9
5,dbi_score,8
5,oci_score,8
5,sqr_score,10
