col_a,col_b,pvalue
0,01-00_1,2
0,01-00_2,2
0,01-00_3,2
0,01-00_4,2
0,01-00_5,2
0,01-01_2,2
0,01-01_4,2
0,02-00_2,2
0,02-00_4,2
0,02-01_2,2
0,03-00_1,3
0,03-00_2,2
0,03-00_3,3
0,03-00_4,3
0,03-00_5,3
0,03-01_3,1
0,03-01_4,3
0,04-00_1,3
0,04-00_3,2
0,04-00_4,2
0,04-00_5,3
0,04-01_1,4
0,04-01_3,3
0,04-01_4,5
0,04-01_5,2
0,05-00_1,3
0,05-00_2,3
0,05-00_3,4
0,05-00_4,7
0,05-00_5,3
0,05-01_1,7
0,05-01_2,2
0,05-01_3,6
0,05-01_4,8
0,05-01_5,4
0,06-00_1,4
0,06-00_3,4
0,06-00_4,6
0,06-00_5,1
0,06-01_1,2
0,06-01_2,3
0,06-01_3,2
0,06-01_4,2
0,06-01_5,1
0,07-00_0,3
0,07-00_1,2
0,07-00_2,2
0,07-00_3,2
0,07-00_4,3
0,07-00_5,2
0,07-01_0,3
0,07-01_1,3
0,07-01_2,4
0,07-01_3,4
0,07-01_4,4
0,07-01_5,3
0,age,14
0,asrsa_score,15
0,asrsb_score,14
0,bai_score,14
0,dbi_score,15
0,oci_score,15
0,sqr_score,15
1,01-00_0,1
1,01-00_2,1
1,02-00_0,1
1,02-00_2,3
1,02-00_3,1
1,02-00_4,1
1,02-01_0,1
1,03-00_0,2
1,03-00_2,1
1,03-00_5,1
1,03-01_0,3
1,03-01_2,1
1,04-00_0,2
1,04-01_0,6
1,05-00_0,5
1,05-00_1,4
1,05-00_2,5
1,05-00_3,4
1,05-00_4,4
1,05-00_5,3
1,05-01_0,5
1,05-01_1,3
1,05-01_2,3
1,05-01_3,3
1,05-01_4,2
1,05-01_5,3
1,06-00_0,5
1,06-00_1,2
1,06-00_2,4
1,06-00_3,3
1,06-00_4,2
1,06-00_5,2
1,06-01_0,4
1,06-01_2,4
1,07-00_0,1
1,07-01_0,3
1,07-01_1,3
1,07-01_2,2
1,07-01_3,4
1,07-01_4,4
1,07-01_5,3
1,age,13
1,asrsa_score,14
1,asrsb_score,14
1,bai_score,14
1,dbi_score,12
1,oci_score,14
1,sqr_score,12
2,01-00_0,1
2,01-00_1,1
2,01-00_2,1
2,01-00_3,1
2,01-00_4,1
2,01-00_5,1
2,02-00_0,1
2,02-00_1,1
2,02-00_3,1
2,02-00_4,1
2,02-00_5,1
2,03-00_0,1
2,03-00_1,2
2,03-00_2,1
2,03-00_3,2
2,03-00_4,1
2,03-00_5,4
2,03-01_0,1
2,03-01_3,1
2,03-01_5,3
2,04-00_0,1
2,04-00_1,2
2,04-00_3,2
2,04-00_4,2
2,04-00_5,1
2,05-00_0,3
2,05-00_1,3
2,05-00_2,1
2,05-00_3,4
2,05-00_4,3
2,05-00_5,1
2,05-01_0,2
2,05-01_1,2
2,05-01_3,2
2,05-01_4,2
2,06-00_0,1
2,06-00_1,2
2,06-00_3,3
2,06-00_4,3
2,06-00_5,1
2,06-01_5,1
2,07-00_0,2
2,07-00_1,2
2,07-00_3,2
2,07-00_4,3
2,07-00_5,1
2,07-01_0,2
2,07-01_1,2
2,07-01_2,2
2,07-01_3,3
2,07-01_4,4
2,07-01_5,2
2,age,14
2,asrsa_score,15
2,asrsb_score,12
2,bai_score,14
2,dbi_score,12
2,oci_score,13
2,sqr_score,13
3,01-00_0,1
3,01-00_2,1
3,02-00_0,1
3,02-01_0,1
3,03-00_2,1
3,03-01_0,2
3,04-00_0,1
3,04-01_0,4
3,05-00_0,4
3,05-00_1,4
3,05-00_2,6
3,05-00_3,4
3,05-00_4,4
3,05-00_5,2
3,05-01_0,5
3,05-01_1,3
3,05-01_2,3
3,05-01_3,3
3,05-01_4,2
3,05-01_5,2
3,06-00_0,2
3,06-00_1,2
3,06-00_2,3
3,06-00_3,2
3,06-00_4,2
3,06-00_5,1
3,06-01_0,1
3,06-01_2,3
3,07-00_0,1
3,07-01_0,4
3,07-01_1,2
3,07-01_2,2
3,07-01_3,4
3,07-01_4,4
3,07-01_5,1
3,age,12
3,asrsa_score,15
3,asrsb_score,13
3,bai_score,13
3,dbi_score,12
3,oci_score,14
3,sqr_score,14
4,01-00_0,1
4,01-00_2,1
4,02-00_0,1
4,02-00_2,2
4,02-01_0,1
4,03-00_2,1
4,03-01_0,2
4,04-00_0,1
4,04-01_0,6
4,05-00_0,4
4,05-00_1,4
4,05-00_2,6
4,05-00_3,4
4,05-00_4,4
4,05-00_5,4
4,05-01_0,5
4,05-01_1,3
4,05-01_2,3
4,05-01_3,3
4,05-01_4,2
4,05-01_5,4
4,06-00_0,5
4,06-00_1,2
4,06-00_2,4
4,06-00_3,3
4,06-00_4,2
4,06-00_5,3
4,06-01_0,3
4,06-01_2,4
4,07-00_0,1
4,07-00_4,1
4,07-01_0,7
4,07-01_1,3
4,07-01_2,4
4,07-01_3,4
4,07-01_4,4
4,07-01_5,3
4,age,12
4,asrsa_score,13
4,asrsb_score,14
4,bai_score,15
4,dbi_score,13
4,oci_score,14
4,sqr_score,14
5,01-00_0,1
5,01-00_2,1
5,02-00_0,1
5,02-00_2,3
5,02-01_0,1
5,03-00_0,1
5,03-00_2,2
5,03-01_0,2
5,03-01_2,1
5,04-00_0,2
5,04-00_2,1
5,04-01_0,2
5,04-01_2,1
5,05-00_0,5
5,05-00_1,3
5,05-00_2,3
5,05-00_3,3
5,05-00_4,4
5,05-00_5,1
5,05-01_0,3
5,05-01_1,2
5,05-01_2,3
5,05-01_3,2
5,05-01_4,2
5,05-01_5,2
5,06-00_0,1
5,06-00_1,2
5,06-00_2,6
5,06-00_3,2
5,06-00_4,2
5,06-01_0,3
5,06-01_2,3
5,07-00_0,1
5,07-01_0,2
5,07-01_1,2
5,07-01_2,1
5,07-01_3,3
5,07-01_4,4
5,07-01_5,1
5,age,11
5,asrsa_score,14
5,asrsb_score,13
5,bai_score,12
5,dbi_score,12
5,oci_score,13
5,sqr_score,13
score,age,1
