,x,y
0,305,236
1,304,190
2,305,203
3,291,148
4,304,177
5,303,159
6,302,119
7,200,115
8,302,89
9,302,73
10,300,25
11,305,243
12,305,248
13,305,251
14,305,255
15,305,261
16,305,268
17,305,276
18,305,288
19,304,197
20,291,196
21,155,77
22,242,125
23,228,126
24,215,126
25,197,120
26,253,121
27,221,94
28,236,94
29,206,96
30,197,100
31,186,130
32,249,306
33,195,111
34,149,126
35,171,122
36,233,181
37,287,234
38,291,248
39,269,240
40,258,248
41,278,251
42,268,253
43,239,267
44,291,189
45,288,177
46,178,89
47,260,147
48,258,187
49,257,181
50,192,181
51,289,161
52,209,74
53,190,80
54,167,57
55,271,84
56,249,98
57,230,255
58,162,239
59,269,195
60,281,198
61,248,258
62,254,256
63,183,72
64,258,194
65,234,75
66,232,66
67,220,31
68,175,65
69,228,49
70,170,84
71,163,82
72,289,243
73,274,247
74,263,250
75,273,197
76,251,258
77,257,259
78,255,254
79,277,189
80,272,253
81,281,252
82,292,252
83,286,288
84,287,276
85,288,267
86,290,260
87,291,255
88,269,255
89,267,258
90,262,261
91,259,266
92,245,230
93,150,178
94,305,199
95,262,255
96,260,257
97,286,205
98,263,202
99,283,201
100,246,155
101,223,164
102,255,187
103,187,41
104,195,52
105,203,65
106,251,275
107,266,70
108,262,49
109,258,27
110,203,125
111,172,140
112,260,117
113,184,104
114,269,139
115,267,182
116,158,148
117,182,149
118,199,154
119,225,150
120,244,143
121,259,137
122,288,122
123,161,175
124,173,103
125,296,196
126,261,160
127,147,126
128,270,131
129,254,188
130,191,112
131,266,174
132,154,208
133,260,112
134,277,166
135,188,274
136,189,287
137,150,177
138,174,255
139,155,103
140,244,320
141,299,198
142,249,170
143,160,124
144,216,118
145,228,119
146,252,262
147,164,199
148,272,342
149,225,319
150,208,306
151,300,50
152,306,345
153,239,118
154,249,116
155,257,114
156,164,103
157,247,107
158,235,104
159,223,104
160,210,105
161,202,108
162,149,98
163,206,117
164,305,214
165,257,221
166,268,192
167,285,216
