,col_a,col_b,pvalue
127,00-01_4,00-01_5,9.467494596900306e-66
128,00-01_4,01-00_4,0.0003571054246061872
129,00-01_4,01-01_1,8.359505467633629e-12
130,00-01_4,01-01_2,0.0001607210869912851
131,00-01_4,01-01_3,1.806004078684574e-10
132,00-01_4,01-01_4,7.287348997732229e-12
133,00-01_4,01-01_5,2.149564280878682e-09
134,00-01_4,02-01_1,5.96091327927952e-10
135,00-01_4,02-01_2,1.0633571760433007e-05
136,00-01_4,02-01_3,2.2977212952601635e-09
137,00-01_4,02-01_4,1.1791055228589742e-10
138,00-01_4,02-01_5,2.178566481932023e-09
139,00-01_4,03-00_4,0.00011674449815562968
140,00-01_4,03-01_1,2.8983488832216123e-08
141,00-01_4,03-01_3,7.765810534598173e-10
142,00-01_4,03-01_4,5.361895768733402e-12
143,00-01_4,03-01_5,3.074085333504334e-05
144,00-01_4,04-00_1,0.00041814562236840033
145,00-01_4,04-00_2,0.00017692293401048572
146,00-01_4,04-00_3,0.00042918276926034337
147,00-01_4,04-00_4,0.00012837866654860232
148,00-01_4,04-00_5,0.00010407488340797902
149,00-01_4,04-01_1,1.785695989516806e-12
150,00-01_4,04-01_2,1.555695717298261e-07
151,00-01_4,04-01_3,2.8081563425430435e-12
152,00-01_4,04-01_4,9.360279709164944e-15
153,00-01_4,04-01_5,7.312292001033183e-12
154,00-01_4,05-01_1,0.00039234007319439805
155,00-01_4,05-01_3,2.9700036210049947e-07
156,00-01_4,05-01_4,4.8127650159226934e-08
157,00-01_4,06-01_0,4.6601504699679716e-05
158,00-01_4,06-01_1,1.7226228295539607e-18
159,00-01_4,06-01_2,3.0786821477173455e-11
160,00-01_4,06-01_3,1.1543671151758522e-18
161,00-01_4,06-01_4,6.238261663671067e-22
162,00-01_4,06-01_5,4.434229758506854e-18
163,00-01_4,07-00_1,0.00014367406068417542
164,00-01_4,07-00_2,0.00018984705451544998
165,00-01_4,07-00_3,3.4918701823015414e-05
166,00-01_4,07-00_4,3.0349352729832112e-05
167,00-01_4,07-00_5,5.1427419519947516e-05
168,00-01_4,07-01_1,8.638544341325243e-07
169,00-01_4,07-01_3,3.731347960377215e-07
170,00-01_4,07-01_4,1.1238038549922389e-07
171,00-01_4,07-01_5,2.916378166392456e-07
172,00-01_5,00-01_5,0.0
173,00-01_5,01-01_0,0.0001408683131098671
174,00-01_5,01-01_1,4.079415954302113e-10
175,00-01_5,01-01_2,5.063461990155097e-05
176,00-01_5,01-01_3,9.034019769686508e-11
177,00-01_5,01-01_4,1.3036689210816376e-08
178,00-01_5,01-01_5,3.875310159456536e-11
179,00-01_5,02-00_5,0.000301825485376154
180,00-01_5,02-01_1,3.424104086442989e-08
181,00-01_5,02-01_2,2.9537166615489406e-05
182,00-01_5,02-01_3,6.6351906706214596e-09
183,00-01_5,02-01_4,1.1883022534583743e-07
184,00-01_5,02-01_5,2.6390477802149267e-09
185,00-01_5,03-01_1,1.8438221686020388e-06
186,00-01_5,03-01_3,9.439819949789596e-10
187,00-01_5,03-01_4,3.014512734973011e-07
188,00-01_5,03-01_5,7.099411600864109e-07
189,00-01_5,04-00_2,0.0002534616385333335
190,00-01_5,04-01_1,2.435921502983681e-08
191,00-01_5,04-01_2,2.0307054738794043e-07
192,00-01_5,04-01_3,8.993826674197576e-08
193,00-01_5,04-01_4,9.093024430417642e-08
194,00-01_5,04-01_5,2.6573759946932643e-10
195,00-01_5,05-00_3,0.00027078760655262685
196,00-01_5,05-01_3,5.586803982808653e-07
197,00-01_5,05-01_4,2.082411453246922e-05
198,00-01_5,06-01_0,1.5365500790362768e-06
199,00-01_5,06-01_1,7.429262971037122e-18
200,00-01_5,06-01_2,1.8006859273807133e-10
201,00-01_5,06-01_3,7.257865791803872e-18
202,00-01_5,06-01_4,1.3864392379994214e-15
203,00-01_5,06-01_5,1.7474870364083618e-22
204,00-01_5,07-01_1,1.973738321462509e-06
205,00-01_5,07-01_3,1.3634578269225305e-05
206,00-01_5,07-01_4,6.3226377333799025e-06
207,00-01_5,07-01_5,6.902112120733542e-07
208,01-00_0,01-00_0,0.0
209,01-00_0,01-00_1,2.821983128758178e-13
210,01-00_0,01-00_2,1.1510531332768264e-38
211,01-00_0,01-00_3,7.99326480812667e-16
212,01-00_0,01-00_4,6.947497519426304e-10
213,01-00_0,01-00_5,3.735515592421353e-19
214,01-00_0,01-01_0,8.875037559308113e-22
215,01-00_0,01-01_1,0.00041264374746638395
216,01-00_0,01-01_2,1.3935915378989054e-08
217,01-00_0,01-01_3,0.00023152676767774016
218,01-00_0,01-01_5,5.19230175197888e-06
219,01-00_0,02-00_0,9.887159738610021e-13
220,01-00_0,02-00_2,9.390057291214922e-05
221,01-00_0,02-00_3,3.2547343471096385e-05
222,01-00_0,02-00_5,1.23395133742222e-05
223,01-00_0,02-01_0,1.3178751305873474e-07
224,01-00_0,03-00_0,2.8483239775313657e-10
225,01-00_0,03-00_3,0.00026008399457820255
226,01-00_0,03-01_0,1.0848598283432333e-07
227,01-00_0,03-01_2,0.00023076855511135606
228,01-00_0,04-00_0,5.50114164218957e-10
229,01-00_0,04-00_2,3.767127178004001e-05
230,01-00_0,04-01_0,0.00023907800305725656
231,01-00_0,05-00_0,1.0929639080854772e-09
232,01-00_0,05-00_2,1.085588846924641e-05
233,01-00_0,05-01_0,1.1045259173941589e-05
234,01-00_0,06-00_0,7.959101749142794e-14
235,01-00_0,06-00_2,6.32664859420614e-05
236,01-00_0,06-01_0,3.25092709356636e-05
237,01-00_0,07-00_0,4.652419741354403e-07
238,01-00_0,07-00_1,6.526962406868272e-05
239,01-00_0,07-00_2,3.3663352428164686e-07
240,01-00_0,07-00_3,0.00047450460116928373
241,01-00_0,07-00_4,0.0002695616700508046
242,01-00_0,07-00_5,0.00012627528873375744
243,01-00_0,age,0.0001526951461456947
244,01-00_1,01-00_1,0.0
245,01-00_1,01-00_2,6.188876306183501e-15
246,01-00_1,01-00_3,1.1947069835820604e-100
247,01-00_1,01-00_4,3.1611952809000633e-121
248,01-00_1,01-00_5,5.297756906409223e-118
249,01-00_1,01-01_0,8.934263708507088e-07
250,01-00_1,01-01_1,3.9109324905332214e-33
251,01-00_1,01-01_2,5.5857849730100225e-08
252,01-00_1,01-01_3,2.6287265167372358e-28
253,01-00_1,01-01_4,4.334428124797333e-28
254,01-00_1,01-01_5,5.304433234838559e-29
255,01-00_1,02-00_1,3.2553019604479884e-06
256,01-00_1,02-00_3,3.3816362000550624e-08
257,01-00_1,02-00_4,1.3310294821266082e-06
258,01-00_1,02-00_5,3.5124448713738756e-07
259,01-00_1,02-01_1,7.266041087185307e-09
260,01-00_1,02-01_3,9.413857451224454e-14
261,01-00_1,02-01_4,3.7176327999446233e-10
262,01-00_1,02-01_5,1.3401255073825113e-11
263,01-00_1,03-00_0,0.00027253950987568364
264,01-00_1,03-00_1,2.4577819426691926e-08
265,01-00_1,03-00_3,2.335583870101233e-12
266,01-00_1,03-00_4,2.0749010799009157e-10
267,01-00_1,03-00_5,4.6235194855454287e-07
268,01-00_1,03-01_1,0.0004626573881185909
269,01-00_1,04-00_0,6.372528382170326e-05
270,01-00_1,04-00_1,5.500149377259434e-07
271,01-00_1,04-00_2,9.115849419717046e-05
272,01-00_1,04-00_3,2.7161072494565094e-07
273,01-00_1,04-00_4,1.114592521747133e-06
274,01-00_1,04-00_5,5.551340794272689e-08
275,01-00_1,04-01_1,0.00017401171838954296
276,01-00_1,04-01_2,0.00028927037660769045
277,01-00_1,04-01_3,0.0003627415501585246
278,01-00_1,04-01_4,0.00034398769094927634
279,01-00_1,04-01_5,0.00020324835514715808
280,01-00_1,06-00_1,9.474970003310442e-09
281,01-00_1,06-00_3,1.3265808009802823e-08
282,01-00_1,06-00_4,5.982016829028161e-08
283,01-00_1,06-00_5,2.8509062593686168e-08
284,01-00_1,06-01_1,7.247546638312126e-07
285,01-00_1,06-01_3,1.6461283825279454e-07
286,01-00_1,06-01_4,8.261694379111284e-07
287,01-00_1,06-01_5,6.735004096237923e-07
288,01-00_1,07-00_0,1.9670703529650008e-07
289,01-00_1,07-00_1,0.00027859446670443254
290,01-00_1,07-00_2,2.0790916808518157e-05
291,01-00_1,07-00_5,5.053525773398893e-05
292,01-00_2,01-00_2,0.0
293,01-00_2,01-00_3,3.8339211837590485e-09
294,01-00_2,01-00_4,2.0635361975059597e-12
295,01-00_2,01-00_5,7.994977524508449e-13
296,01-00_2,01-01_0,2.071313338181917e-09
297,01-00_2,01-01_1,9.258061955910936e-05
298,01-00_2,01-01_2,9.298185476801664e-18
299,01-00_2,01-01_4,0.00020322270381368222
300,01-00_2,02-00_0,1.4600236419157517e-08
301,01-00_2,02-00_1,1.4992092964736806e-05
302,01-00_2,02-00_2,5.353546610050991e-11
303,01-00_2,02-00_3,5.936393892564269e-05
304,01-00_2,02-00_4,9.755486374295559e-05
305,01-00_2,02-00_5,2.217162180128653e-05
306,01-00_2,02-01_0,7.979912883212791e-06
307,01-00_2,02-01_1,0.0001396938892091205
308,01-00_2,02-01_2,2.358407486480508e-08
309,01-00_2,02-01_4,0.00015042458138673796
310,01-00_2,03-00_0,3.093090808331316e-08
311,01-00_2,03-00_2,4.06097219575581e-10
312,01-00_2,03-00_4,0.00011280755497099886
313,01-00_2,03-01_2,6.995763035823024e-09
314,01-00_2,03-01_4,0.0004979889283317001
315,01-00_2,04-00_0,9.788460878114942e-06
316,01-00_2,04-00_2,2.41605333085225e-07
317,01-00_2,04-00_3,0.00040714011987286474
318,01-00_2,04-01_0,0.0002499331900724716
319,01-00_2,04-01_2,3.4746966195766205e-05
320,01-00_2,05-00_0,0.0002866179561547248
321,01-00_2,05-00_2,2.1247327653627656e-07
322,01-00_2,05-01_1,0.00025288733591213424
323,01-00_2,05-01_2,5.887712181049639e-06
324,01-00_2,05-01_4,0.00011581268153311507
325,01-00_2,05-01_5,0.00042802704936773217
326,01-00_2,06-00_0,4.1408245660415335e-08
327,01-00_2,06-00_2,6.134444375374071e-13
328,01-00_2,07-00_0,5.829229854831099e-05
329,01-00_2,07-00_1,2.214936214128671e-07
330,01-00_2,07-00_2,1.4538433492003813e-11
331,01-00_2,07-00_3,8.545895282861605e-06
332,01-00_2,07-00_4,1.1843663180435545e-06
333,01-00_2,07-00_5,1.6784286529039968e-06
334,01-00_3,01-00_3,0.0
335,01-00_3,01-00_4,1.1858129882018496e-115
336,01-00_3,01-00_5,1.2469083277229803e-98
337,01-00_3,01-01_0,1.1483042611607716e-08
338,01-00_3,01-01_1,6.428531202013003e-29
339,01-00_3,01-01_2,9.404889979920907e-07
340,01-00_3,01-01_3,6.389655525191398e-33
341,01-00_3,01-01_4,8.15065442470382e-27
342,01-00_3,01-01_5,7.173249175489449e-29
343,01-00_3,02-00_1,2.9757370179972104e-07
344,01-00_3,02-00_3,2.3287252210843544e-12
345,01-00_3,02-00_4,2.967006073545804e-08
346,01-00_3,02-00_5,2.531358371268952e-09
347,01-00_3,02-01_0,0.00012131702212743144
348,01-00_3,02-01_1,2.7295121458337637e-09
349,01-00_3,02-01_3,1.2121025513136306e-15
350,01-00_3,02-01_4,1.0797445651219551e-10
351,01-00_3,02-01_5,1.1996152514353306e-12
352,01-00_3,03-00_0,0.00016560022942461094
353,01-00_3,03-00_1,1.9848863103793504e-07
354,01-00_3,03-00_3,8.053146621841404e-15
355,01-00_3,03-00_4,2.0063370419091137e-10
356,01-00_3,03-00_5,5.385967745656206e-08
357,01-00_3,03-01_3,5.537398391910197e-05
358,01-00_3,04-00_0,4.098416696790631e-06
359,01-00_3,04-00_1,1.3291913023330493e-09
360,01-00_3,04-00_2,1.6995403152617114e-06
361,01-00_3,04-00_3,8.614436549218249e-11
362,01-00_3,04-00_4,1.294050564852025e-09
