,col_a,col_b,pvalue
127,00-01_5,03-01_3,9.439819949789596e-10
128,00-01_5,03-01_4,3.014512734973011e-07
129,00-01_5,03-01_5,7.099411600864109e-07
130,00-01_5,04-01_1,2.435921502983681e-08
131,00-01_5,04-01_2,2.0307054738794046e-07
132,00-01_5,04-01_3,8.993826674197576e-08
133,00-01_5,04-01_4,9.093024430417643e-08
134,00-01_5,04-01_5,2.6573759946932643e-10
135,00-01_5,05-01_3,5.586803982808653e-07
136,00-01_5,06-01_0,1.5365500790362768e-06
137,00-01_5,06-01_1,7.429262971037122e-18
138,00-01_5,06-01_2,1.800685927380713e-10
139,00-01_5,06-01_3,7.257865791803872e-18
140,00-01_5,06-01_4,1.3864392379994214e-15
141,00-01_5,06-01_5,1.7474870364083618e-22
142,00-01_5,07-01_1,1.973738321462509e-06
143,00-01_5,07-01_5,6.902112120733542e-07
144,01-00_0,01-00_0,0.0
145,01-00_0,01-00_1,2.821983128758178e-13
146,01-00_0,01-00_2,1.1510531332768263e-38
147,01-00_0,01-00_3,7.99326480812667e-16
148,01-00_0,01-00_4,6.947497519426304e-10
149,01-00_0,01-00_5,3.735515592421353e-19
150,01-00_0,01-01_0,8.875037559308113e-22
151,01-00_0,01-01_2,1.3935915378989054e-08
152,01-00_0,02-00_0,9.887159738610021e-13
153,01-00_0,02-01_0,1.3178751305873474e-07
154,01-00_0,03-00_0,2.8483239775313657e-10
155,01-00_0,03-01_0,1.0848598283432333e-07
156,01-00_0,04-00_0,5.50114164218957e-10
157,01-00_0,05-00_0,1.0929639080854772e-09
158,01-00_0,06-00_0,7.959101749142795e-14
159,01-00_0,07-00_0,4.652419741354403e-07
160,01-00_0,07-00_2,3.366335242816469e-07
161,01-00_1,01-00_1,0.0
162,01-00_1,01-00_2,6.188876306183501e-15
163,01-00_1,01-00_3,1.1947069835820604e-100
164,01-00_1,01-00_4,3.1611952809000633e-121
165,01-00_1,01-00_5,5.297756906409223e-118
166,01-00_1,01-01_0,8.934263708507088e-07
167,01-00_1,01-01_1,3.910932490533221e-33
168,01-00_1,01-01_2,5.585784973010023e-08
169,01-00_1,01-01_3,2.6287265167372358e-28
170,01-00_1,01-01_4,4.334428124797333e-28
171,01-00_1,01-01_5,5.304433234838559e-29
172,01-00_1,02-00_1,3.2553019604479884e-06
173,01-00_1,02-00_3,3.3816362000550624e-08
174,01-00_1,02-00_4,1.3310294821266082e-06
175,01-00_1,02-00_5,3.512444871373876e-07
176,01-00_1,02-01_1,7.266041087185307e-09
177,01-00_1,02-01_3,9.413857451224455e-14
178,01-00_1,02-01_4,3.717632799944623e-10
179,01-00_1,02-01_5,1.3401255073825111e-11
180,01-00_1,03-00_1,2.457781942669193e-08
181,01-00_1,03-00_3,2.335583870101233e-12
182,01-00_1,03-00_4,2.074901079900916e-10
183,01-00_1,03-00_5,4.623519485545429e-07
184,01-00_1,04-00_1,5.500149377259434e-07
185,01-00_1,04-00_3,2.7161072494565094e-07
186,01-00_1,04-00_4,1.114592521747133e-06
187,01-00_1,04-00_5,5.5513407942726894e-08
188,01-00_1,06-00_1,9.474970003310442e-09
189,01-00_1,06-00_3,1.3265808009802824e-08
190,01-00_1,06-00_4,5.982016829028161e-08
191,01-00_1,06-00_5,2.8509062593686168e-08
192,01-00_1,06-01_1,7.247546638312126e-07
193,01-00_1,06-01_3,1.6461283825279456e-07
194,01-00_1,06-01_4,8.261694379111284e-07
195,01-00_1,06-01_5,6.735004096237923e-07
196,01-00_1,07-00_0,1.967070352965001e-07
197,01-00_2,01-00_2,0.0
198,01-00_2,01-00_3,3.8339211837590485e-09
199,01-00_2,01-00_4,2.06353619750596e-12
200,01-00_2,01-00_5,7.99497752450845e-13
201,01-00_2,01-01_0,2.071313338181917e-09
202,01-00_2,01-01_2,9.298185476801664e-18
