,x,y
0,304,214
1,301,162
2,302,184
3,291,128
4,300,149
5,301,136
6,300,107
7,218,120
8,300,83
9,300,67
10,299,25
11,304,220
12,305,228
13,305,232
14,306,236
15,306,241
16,306,248
17,306,257
18,306,275
19,301,171
20,292,175
21,181,94
22,251,126
23,241,128
24,229,130
25,214,125
26,261,123
27,236,95
28,248,96
29,225,98
30,217,104
31,205,135
32,256,302
33,214,118
34,174,142
35,193,130
36,243,173
37,290,212
38,293,229
39,275,221
40,267,231
41,283,232
42,275,237
43,251,258
44,291,162
45,288,151
46,200,92
47,266,141
48,265,170
49,264,166
50,209,178
51,289,138
52,225,72
53,210,80
54,191,69
55,275,80
56,259,99
57,242,246
58,183,264
59,275,177
60,285,181
61,257,246
62,264,246
63,204,74
64,266,179
65,247,72
66,245,63
67,235,33
68,198,71
69,241,47
70,193,91
71,188,93
72,291,221
73,279,227
74,270,234
75,278,180
76,261,246
77,265,246
78,264,245
79,280,167
80,277,238
81,285,235
82,295,233
83,289,275
84,291,256
85,292,247
86,293,240
87,294,236
88,275,240
89,274,241
90,271,246
91,267,252
92,255,217
93,173,204
94,302,177
95,270,243
96,268,244
97,288,186
98,270,188
99,287,183
100,254,150
101,235,161
102,263,173
103,209,48
104,215,55
105,222,65
106,261,265
107,272,65
108,268,46
109,265,27
110,219,129
111,193,146
112,267,118
113,204,110
114,274,131
115,272,161
116,181,157
117,200,152
118,214,153
119,237,148
120,253,141
121,265,135
122,289,112
123,183,182
124,196,111
125,296,171
126,267,152
127,172,150
128,275,125
129,262,177
130,210,119
131,270,157
132,176,233
133,267,115
134,280,145
135,205,281
136,205,302
137,172,193
138,193,267
139,180,116
140,252,318
141,298,176
142,258,162
143,184,135
144,230,123
145,241,122
146,262,249
147,185,207
148,276,341
149,236,326
150,221,316
151,299,46
152,306,344
153,249,120
154,258,117
155,263,116
156,188,112
157,257,111
158,247,110
159,238,109
160,229,112
161,222,115
162,174,119
163,223,121
164,304,194
165,265,207
166,274,173
167,288,196
168,301,96
169,219,297
170,235,308
171,275,326
172,193,286
173,264,112
174,282,129
175,305,329
176,254,334
177,175,220
178,284,237
179,282,240
180,280,246
181,277,254
182,273,270
183,268,242
184,264,241
185,260,239
186,247,231
187,201,208
188,281,120
189,276,103
190,269,107
191,271,241
192,199,244
193,285,100
194,264,286
195,301,126
196,289,120
197,300,117
198,274,148
199,305,311
200,305,291
201,284,290
202,237,265
203,253,189
204,248,278
205,226,191
206,243,202
207,217,214
208,278,308
209,267,159
210,225,278
211,240,291
212,227,249
213,189,230
214,212,254
215,181,246
216,233,223
217,275,140
218,276,165
219,269,174
220,279,154
221,267,93
222,248,86
223,232,86
224,219,90
225,209,98
226,203,124
227,172,167
228,211,138
229,222,140
230,238,138
231,253,133
232,264,128
233,272,123
234,172,178
235,270,179
236,281,137
237,284,162
238,291,170
239,285,166
240,274,183
241,293,170
242,294,176
243,271,113
244,277,115
245,280,115
246,217,117
247,211,110
248,311,128
249,386,118
250,312,174
251,427,91
252,354,125
253,365,128
