,x,y
0,292,246
1,292,199
2,292,215
3,285,160
4,292,187
5,293,171
6,296,132
7,221,131
8,297,100
9,297,84
10,300,25
11,292,252
12,292,258
13,292,261
14,292,262
15,292,268
16,292,276
17,292,283
18,291,295
19,292,206
20,283,208
21,190,85
22,250,142
23,240,143
24,230,142
25,217,136
26,260,138
27,238,109
28,249,111
29,227,111
30,220,116
31,209,144
32,251,312
33,217,129
34,183,139
35,199,136
36,242,194
37,280,244
38,281,258
39,266,249
40,258,255
41,272,259
42,265,262
43,244,275
44,284,199
45,282,187
46,206,102
47,263,161
48,260,199
49,259,193
50,211,193
51,283,172
52,229,88
53,216,92
54,200,63
55,274,98
56,259,114
57,237,263
58,191,254
59,267,206
60,276,210
61,249,265
62,254,263
63,210,84
64,259,206
65,248,89
66,247,78
67,240,32
68,206,73
69,245,55
70,201,97
71,195,91
72,280,252
73,269,255
74,262,258
75,270,209
76,251,264
77,256,266
78,255,262
79,273,200
80,267,261
81,274,261
82,283,261
83,277,294
84,278,282
85,279,274
86,281,267
87,282,263
88,265,263
89,263,265
90,261,268
91,258,273
92,250,240
93,182,194
94,292,210
95,261,263
96,258,264
97,280,216
98,263,214
99,278,213
100,252,169
101,235,178
102,258,198
103,216,44
104,221,61
105,226,78
106,253,282
107,272,81
108,270,54
109,267,27
110,221,141
111,198,153
112,266,135
113,209,119
114,271,153
115,266,193
116,187,162
117,204,163
118,217,167
119,237,164
120,252,159
121,263,153
122,285,136
123,188,188
124,202,118
125,286,206
126,263,174
127,182,139
128,271,145
129,257,200
130,214,129
131,265,186
132,185,223
133,266,130
134,274,177
135,210,285
136,210,298
137,180,191
138,197,268
139,189,114
140,249,325
141,288,210
142,254,183
143,191,138
144,231,135
145,240,136
146,253,268
147,190,213
148,268,341
149,238,325
150,225,314
151,299,54
152,290,344
153,250,135
154,258,133
155,263,131
156,195,115
157,257,123
158,248,121
159,239,120
160,229,122
161,223,125
162,185,110
163,225,133
164,293,225
165,258,232
166,267,204
167,278,226
168,297,117
169,223,301
170,235,312
171,267,333
172,199,280
173,263,127
174,277,155
175,290,336
176,251,334
177,183,218
178,273,262
179,271,266
180,269,271
181,267,278
182,263,289
183,259,263
184,255,262
185,252,259
186,242,251
187,204,220
188,278,144
189,274,121
190,267,123
191,261,261
192,202,250
193,283,119
194,257,301
195,294,157
196,285,149
197,295,145
198,269,175
199,290,323
200,291,308
201,273,307
202,234,279
203,248,210
204,244,292
205,225,209
206,239,223
207,216,229
208,269,321
209,262,183
210,225,288
211,238,301
212,227,264
213,193,235
214,214,265
215,188,244
216,231,240
217,270,164
218,269,198
219,263,203
220,273,189
221,266,110
222,249,103
223,234,101
224,222,103
225,214,109
226,208,132
227,180,165
228,214,149
229,225,153
230,238,153
231,251,149
232,262,145
233,269,141
234,182,166
235,263,207
236,276,165
237,277,198
238,282,205
239,277,200
240,267,211
241,284,206
242,285,209
243,269,131
244,275,134
245,278,136
246,220,127
247,214,121
248,304,160
249,376,131
250,302,208
251,414,86
252,344,142
253,354,143
254,364,143
255,380,136
256,335,138
257,359,108
258,347,110
259,370,111
260,378,115
261,387,145
262,331,314
263,380,128
264,418,140
265,399,136
266,348,194
267,306,244
268,303,258
269,319,248
270,327,255
271,313,259
272,321,261
273,341,275
274,301,200
275,303,187
276,394,101
277,329,162
278,327,199
279,328,193
280,381,194
281,303,172
282,369,87
283,384,91
284,405,63
285,322,98
286,337,114
287,350,263
288,403,257
289,318,206
290,310,210
291,338,263
292,333,263
293,390,83
294,327,206
295,349,88
296,352,77
297,362,32
298,398,73
299,356,54
300,401,96
301,408,92
302,304,252
303,315,255
304,324,258
305,316,209
306,335,263
307,331,265
308,332,262
309,313,201
310,319,260
311,311,260
312,301,261
313,306,295
314,306,282
315,304,274
316,304,267
317,303,263
318,321,263
319,322,265
320,325,268
321,327,273
322,337,240
323,417,195
324,326,263
325,328,263
326,306,216
327,323,214
328,307,213
329,339,170
330,357,178
331,330,199
332,388,44
333,381,59
334,373,77
335,332,282
336,325,81
337,329,54
338,334,27
339,374,141
340,398,155
341,329,135
342,389,119
343,320,153
344,320,193
345,409,164
346,390,164
347,376,168
348,355,165
349,341,159
350,330,153
351,306,136
352,406,190
353,398,117
354,297,206
355,326,174
356,421,140
357,321,145
358,331,201
359,383,128
360,322,186
361,412,225
362,329,130
363,313,178
364,378,286
365,377,300
366,417,193
367,391,270
368,413,114
369,333,326
370,296,209
371,335,184
372,409,139
373,364,134
374,355,136
375,334,268
376,402,214
377,312,342
378,346,327
379,360,316
380,346,135
381,337,133
382,332,131
383,405,115
384,338,123
385,348,121
386,357,119
387,367,122
388,373,124
389,420,110
390,371,133
391,327,232
392,319,204
393,307,227
394,363,303
395,348,314
396,313,334
397,391,282
398,332,127
399,313,156
400,330,335
401,412,221
402,312,262
403,314,265
404,316,271
405,317,278
406,320,289
407,328,262
408,331,261
409,334,259
410,345,251
411,388,221
412,313,144
413,320,121
414,327,123
415,326,261
416,387,252
417,311,119
418,326,301
419,305,149
420,319,175
421,309,307
422,352,280
423,340,211
424,340,292
425,364,210
426,349,224
427,372,231
428,312,322
429,326,183
430,360,289
431,346,303
432,360,264
433,398,236
434,373,266
435,405,246
436,357,241
437,319,164
438,316,198
439,323,204
440,312,190
441,330,110
442,348,102
443,363,100
444,376,103
445,385,108
446,390,132
447,419,166
448,381,150
449,370,154
450,356,153
451,342,149
452,331,145
453,325,141
454,419,168
455,323,207
456,312,166
457,309,198
458,303,205
459,309,201
460,319,211
461,300,206
462,300,209
463,325,131
464,319,134
465,315,136
466,377,126
467,383,120
