,x,y
0,299,237
1,303,192
2,300,206
3,291,158
4,303,181
5,302,167
6,301,133
7,212,133
8,299,102
9,299,85
10,299,25
11,299,243
12,299,248
13,298,251
14,296,252
15,296,257
16,296,263
17,297,272
18,296,285
19,303,199
20,290,199
21,167,73
22,247,140
23,235,142
24,224,141
25,205,135
26,257,136
27,229,113
28,242,114
29,217,112
30,209,115
31,196,138
32,251,301
33,207,131
34,161,125
35,183,126
36,236,184
37,284,234
38,285,248
39,268,238
40,256,241
41,272,248
42,263,248
43,240,259
44,293,192
45,291,182
46,189,95
47,261,156
48,260,190
49,258,183
50,199,180
51,291,169
52,218,83
53,201,86
54,179,52
55,271,97
56,253,116
57,230,247
58,171,236
59,269,196
60,281,202
61,244,248
62,250,247
63,194,76
64,259,195
65,241,87
66,239,76
67,229,28
68,188,64
69,235,51
70,182,87
71,174,82
72,284,243
73,270,244
74,259,245
75,273,199
76,247,248
77,253,249
78,252,246
79,277,191
80,265,248
81,275,249
82,286,250
83,280,282
84,281,269
85,283,261
86,283,255
87,284,250
88,264,248
89,262,249
90,259,253
91,256,257
92,245,228
93,159,176
94,302,203
95,258,247
96,256,247
97,284,206
98,264,203
99,283,204
100,248,163
101,228,169
102,256,189
103,199,37
104,206,53
105,214,71
106,250,266
107,269,81
108,265,52
109,261,24
110,212,138
111,184,143
112,263,133
113,194,115
114,270,150
115,269,185
116,171,151
117,191,152
118,207,158
119,231,158
120,248,153
121,261,148
122,289,135
123,171,175
124,185,110
125,296,198
126,262,166
127,157,123
128,270,142
129,255,190
130,201,127
131,268,178
132,163,205
133,262,130
134,280,172
135,198,269
136,198,283
137,161,176
138,183,250
139,168,102
140,246,318
141,297,202
142,251,175
143,173,127
144,225,136
145,236,136
146,249,252
147,172,199
148,267,340
149,230,317
150,215,302
151,299,55
152,294,344
153,246,135
154,255,132
155,259,130
156,177,105
157,254,133
158,244,137
159,235,137
160,225,136
161,217,134
162,160,95
163,217,135
164,300,217
165,257,220
166,269,194
167,283,218
168,299,117
169,215,287
170,230,303
171,269,327
172,183,261
173,259,131
174,280,152
175,294,333
176,247,331
177,164,202
178,273,249
179,271,252
180,269,257
181,267,264
182,264,274
183,255,247
184,251,246
185,247,245
186,236,236
187,188,205
188,280,141
189,270,120
190,264,123
191,257,246
192,188,233
193,283,119
194,256,287
195,302,156
196,290,147
197,301,145
198,270,169
199,295,317
200,296,300
201,276,296
202,228,263
203,244,199
204,242,277
205,216,196
206,233,211
207,205,216
208,271,313
209,261,175
210,218,273
211,234,289
212,217,248
213,175,219
214,202,249
215,171,227
216,223,226
217,271,160
218,273,190
219,264,193
220,280,182
221,261,109
222,242,102
223,225,100
224,211,100
225,200,106
226,192,126
227,160,151
228,202,144
229,215,148
230,232,149
231,248,147
232,259,141
233,268,137
234,158,150
235,264,196
236,281,162
237,283,191
238,289,197
239,283,192
240,268,201
241,292,198
242,293,201
243,267,129
244,273,132
245,278,134
246,212,133
247,201,120
248,312,158
249,380,135
250,314,200
251,418,79
252,346,140
253,357,142
254,368,142
255,385,137
256,337,136
257,364,117
258,352,116
259,375,117
260,381,120
261,392,141
262,337,304
263,384,133
264,418,131
265,404,131
266,358,185
267,315,235
268,311,249
269,330,238
270,338,243
271,323,248
272,331,249
273,349,259
274,312,192
275,314,182
276,399,103
277,336,156
278,341,189
279,342,183
280,391,184
281,313,169
282,375,91
283,390,96
284,409,58
285,325,100
286,342,118
287,359,249
288,400,240
289,332,195
290,322,201
291,346,249
292,340,249
293,396,84
294,340,194
295,354,92
296,356,81
297,365,31
298,402,71
299,360,56
300,405,96
301,412,88
302,313,243
303,326,244
304,335,246
305,328,198
306,343,249
307,338,251
308,339,248
309,326,191
310,328,248
311,320,250
312,310,251
313,311,283
314,311,270
315,311,262
316,310,256
317,309,251
318,327,249
319,329,251
320,332,254
321,335,259
322,349,228
323,413,181
324,333,249
325,335,250
326,317,206
327,337,202
328,319,205
329,347,163
330,364,171
331,343,188
332,391,42
333,386,60
334,379,80
335,338,268
336,329,84
337,331,55
338,336,26
339,378,140
340,403,147
341,333,132
342,393,120
343,327,150
344,335,185
345,413,154
346,396,155
347,383,161
348,362,159
349,347,154
350,335,148
351,312,136
352,413,178
353,402,115
354,309,199
355,337,167
356,418,128
357,327,142
358,343,189
359,389,130
360,336,178
361,409,209
362,334,130
363,324,172
364,382,273
365,379,287
366,418,181
367,394,254
368,415,108
369,338,319
370,307,202
371,345,176
372,411,132
373,368,137
374,357,137
375,341,253
376,411,202
377,318,341
378,351,320
379,364,306
380,348,135
381,340,131
382,337,130
383,408,111
384,343,134
385,352,137
386,361,138
387,370,138
388,377,137
389,419,101
390,375,136
391,340,220
392,333,193
393,317,218
394,367,290
395,354,305
396,319,329
397,390,267
398,337,130
399,321,152
400,337,332
401,414,206
402,319,250
403,321,254
404,323,258
405,324,265
406,326,276
407,337,249
408,341,248
409,345,246
410,356,238
411,398,208
412,320,142
413,324,121
414,331,123
415,335,248
416,394,237
417,315,120
418,331,289
419,312,148
420,330,169
421,313,298
422,358,266
423,351,199
424,346,279
425,376,199
426,361,212
427,383,218
428,317,314
429,337,175
430,366,276
431,351,291
432,368,250
433,405,222
434,380,252
435,406,232
436,367,229
437,328,159
438,331,189
439,337,192
440,324,182
441,335,110
442,353,106
443,368,105
444,381,107
445,390,112
446,395,130
447,419,156
448,387,147
449,376,150
450,361,150
451,346,147
452,336,141
453,329,137
454,415,155
455,337,196
456,322,162
457,322,190
458,314,197
459,322,191
460,333,200
461,311,198
462,311,202
463,329,129
464,323,131
465,321,134
466,380,135
467,387,124
