,col_a,col_b,pvalue
127,01-00_0,05-01_0,2.523801422393556e-07
128,01-00_0,06-00_0,3.188483233308442e-10
129,01-00_0,07-00_2,1.759724897696384e-07
130,01-00_1,01-00_1,0.0
131,01-00_1,01-00_2,8.550384092549012e-12
132,01-00_1,01-00_3,2.365817142829535e-69
133,01-00_1,01-00_4,5.6976094136505355e-90
134,01-00_1,01-00_5,3.3204844505233126e-100
135,01-00_1,01-01_1,4.603501660017973e-22
136,01-00_1,01-01_2,1.810778737311683e-06
137,01-00_1,01-01_3,1.3610945859815843e-16
138,01-00_1,01-01_4,7.262712486047661e-17
139,01-00_1,01-01_5,7.082519460751541e-18
140,01-00_1,02-00_1,2.678034298933789e-07
141,01-00_1,02-00_3,1.4798563147061854e-07
142,01-00_1,02-00_4,2.1994731773519722e-07
143,01-00_1,02-00_5,1.3498897926416554e-06
144,01-00_1,02-01_1,2.4546551831463063e-09
145,01-00_1,02-01_3,3.5847652205781303e-10
146,01-00_1,02-01_4,6.356354164829201e-11
147,01-00_1,02-01_5,3.761745895711023e-08
148,01-00_1,03-00_1,2.5749650312685614e-08
149,01-00_1,03-00_3,3.130443310494164e-10
150,01-00_1,03-00_4,3.223534362436522e-09
151,01-00_1,03-00_5,4.658753766961179e-06
152,01-00_1,04-01_4,4.898211321642761e-06
153,01-00_1,06-00_1,1.6970420458790156e-06
154,01-00_1,06-00_3,4.649396606906512e-08
155,01-00_1,06-00_4,3.0264994706023944e-07
156,01-00_1,06-00_5,1.052400115991111e-06
157,01-00_1,06-01_1,1.4414058879554918e-07
158,01-00_1,06-01_3,9.760829794881087e-07
159,01-00_1,06-01_4,1.3407403316316037e-08
160,01-00_1,06-01_5,2.390902364024382e-06
161,01-00_2,01-00_2,0.0
162,01-00_2,01-00_3,8.575994366479492e-09
163,01-00_2,01-00_4,1.8971881128450212e-11
164,01-00_2,01-00_5,3.3568996636070376e-11
165,01-00_2,01-01_0,1.350028218722989e-07
166,01-00_2,01-01_2,1.5040517405509305e-13
167,01-00_2,02-00_0,1.5339043663049304e-08
168,01-00_2,02-00_2,5.38125167093389e-10
169,01-00_2,02-01_0,8.486973114535402e-07
170,01-00_2,02-01_2,4.0687132715574085e-10
171,01-00_2,03-00_2,2.2626237616623657e-08
172,01-00_2,03-01_2,1.552621648295202e-06
173,01-00_2,04-00_0,3.837999101428332e-06
174,01-00_2,04-00_2,4.0611041143199465e-08
175,01-00_2,05-00_2,2.9360818726574717e-08
176,01-00_2,05-01_2,2.218012453795311e-06
177,01-00_2,06-00_0,1.2744244682392881e-07
178,01-00_2,06-00_2,4.166173568567214e-09
179,01-00_2,07-00_1,5.612934350183726e-07
180,01-00_2,07-00_2,1.0911655946229918e-08
181,01-00_3,01-00_3,0.0
182,01-00_3,01-00_4,4.125586554842808e-75
183,01-00_3,01-00_5,1.5254602625586576e-87
184,01-00_3,01-01_1,1.3736935264602857e-15
185,01-00_3,01-01_2,1.9701619698527667e-06
186,01-00_3,01-01_3,4.966063205805228e-19
187,01-00_3,01-01_4,4.234974348102986e-13
188,01-00_3,01-01_5,5.708246778301288e-16
189,01-00_3,02-00_1,3.7880577340754493e-08
190,01-00_3,02-00_3,1.6003074422169498e-11
191,01-00_3,02-00_4,3.0626621660834726e-08
192,01-00_3,02-00_5,1.0437390352454826e-08
193,01-00_3,02-01_1,2.001676625792177e-08
194,01-00_3,02-01_3,1.0912506338477392e-11
195,01-00_3,02-01_4,5.910004115443344e-10
196,01-00_3,02-01_5,4.325478045599674e-08
197,01-00_3,03-00_3,6.426252728067978e-12
198,01-00_3,03-00_4,4.00809671438291e-08
199,01-00_3,03-00_5,1.924351731174208e-06
200,01-00_3,04-00_1,4.255254323700447e-06
201,01-00_3,04-00_2,2.580600046934026e-06
202,01-00_3,04-00_3,6.337706346448165e-08
203,01-00_3,04-00_4,2.3474309660143725e-06
204,01-00_3,04-00_5,1.40709837368038e-07
205,01-00_3,06-00_3,1.4257205516201534e-08
206,01-00_3,06-00_5,2.3778395568303644e-06
207,01-00_3,06-01_1,2.667774602252362e-07
208,01-00_3,06-01_3,5.072657026136382e-07
209,01-00_3,06-01_4,2.842227982556613e-08
210,01-00_3,06-01_5,1.5818034616829116e-06
211,01-00_4,01-00_4,0.0
212,01-00_4,01-00_5,2.938133175794001e-53
213,01-00_4,01-01_1,3.583033703336053e-20
214,01-00_4,01-01_3,6.258635030248857e-17
215,01-00_4,01-01_4,1.6724765867195332e-22
216,01-00_4,01-01_5,2.5936963603231468e-15
217,01-00_4,02-00_1,1.1375757028344993e-06
218,01-00_4,02-00_3,9.88217239121934e-08
219,01-00_4,02-00_4,4.306201868618167e-08
220,01-00_4,02-01_1,2.01153075029877e-10
221,01-00_4,02-01_3,2.5580124351716486e-10
222,01-00_4,02-01_4,1.7928825519333754e-11
223,01-00_4,02-01_5,2.1074034171011103e-09
224,01-00_4,03-00_1,2.672915186650045e-07
225,01-00_4,03-00_3,1.0191600725233635e-10
226,01-00_4,03-00_4,1.371429548355675e-10
227,01-00_4,03-01_1,1.9046871215458512e-06
228,01-00_4,03-01_4,3.069182605260932e-06
229,01-00_4,04-01_3,9.425685680819408e-07
230,01-00_4,04-01_4,1.6502407021040526e-06
231,01-00_4,06-00_3,8.173158394721413e-08
232,01-00_4,06-00_4,2.430819523210774e-07
233,01-00_4,06-01_1,4.688209880072792e-10
234,01-00_4,06-01_3,2.7812625908976882e-08
235,01-00_4,06-01_4,4.503165986373966e-12
236,01-00_4,06-01_5,2.766453960859673e-07
237,01-00_5,01-00_5,0.0
238,01-00_5,01-01_1,7.430074080839338e-18
239,01-00_5,01-01_2,5.4925943655536185e-08
240,01-00_5,01-01_3,6.872357034441264e-18
241,01-00_5,01-01_4,1.0795722598509132e-12
242,01-00_5,01-01_5,2.0631232041907774e-20
243,01-00_5,02-00_1,9.23854729995544e-07
244,01-00_5,02-00_3,2.288417338783814e-09
245,01-00_5,02-00_4,5.810448953664939e-07
246,01-00_5,02-00_5,2.970314740520043e-07
247,01-00_5,02-01_1,5.749045446411073e-08
248,01-00_5,02-01_3,3.5955716896880755e-10
249,01-00_5,02-01_4,4.941567954087198e-09
250,01-00_5,02-01_5,5.4918155910483446e-08
251,01-00_5,03-00_3,9.606746146650324e-09
252,01-00_5,03-00_4,9.354458279660916e-07
253,01-00_5,04-00_3,1.6048471477392502e-07
254,01-00_5,04-00_5,4.5047515381606086e-08
255,01-00_5,06-00_1,4.245604031596851e-07
256,01-00_5,06-00_3,5.683671535790821e-09
257,01-00_5,06-00_4,9.399060221090322e-07
258,01-00_5,06-00_5,1.0921287702091142e-08
259,01-00_5,06-01_1,1.952192689294622e-07
260,01-00_5,06-01_3,4.179157842751644e-06
261,01-00_5,06-01_4,2.3411422263841722e-07
262,01-00_5,06-01_5,3.707641376360252e-07
263,01-01_0,01-01_0,0.0
264,01-01_0,01-01_1,2.006495293476002e-06
265,01-01_0,01-01_2,5.890906382528057e-27
266,01-01_0,01-01_3,3.95908115908804e-11
267,01-01_0,01-01_5,9.44257528448882e-10
268,01-01_0,02-00_0,1.567676856855184e-06
269,01-01_0,02-01_0,1.051244851399254e-15
270,01-01_0,02-01_2,5.032608863793218e-07
271,01-01_0,02-01_3,3.2457499487811397e-06
272,01-01_0,03-00_0,3.5158724033587196e-10
273,01-01_0,03-01_0,3.4493405315236534e-25
274,01-01_0,03-01_2,2.3180193612760775e-08
275,01-01_0,04-00_0,1.0727289876784529e-07
276,01-01_0,04-01_0,2.1956122023728742e-08
277,01-01_0,05-00_0,3.4873593366827705e-06
278,01-01_0,05-01_0,3.5290138351536937e-10
279,01-01_0,06-00_0,2.73938220613848e-15
280,01-01_0,06-01_0,3.4612596721795493e-13
281,01-01_1,01-01_1,0.0
282,01-01_1,01-01_2,1.6170615347584721e-15
283,01-01_1,01-01_3,3.522841526033849e-84
284,01-01_1,01-01_4,4.338262848938539e-104
285,01-01_1,01-01_5,3.4083632675598125e-111
286,01-01_1,02-01_1,3.5722827762827083e-22
287,01-01_1,02-01_2,4.188314117771082e-06
288,01-01_1,02-01_3,1.381636444256066e-15
289,01-01_1,02-01_4,5.822746290843004e-19
290,01-01_1,02-01_5,6.522587588277756e-18
291,01-01_1,03-00_3,3.4477373104644176e-06
292,01-01_1,03-00_4,4.37982417093301e-07
293,01-01_1,03-01_1,1.2287349076128936e-09
294,01-01_1,03-01_3,5.7627393610779085e-09
