,col_a,col_b,pvalue
117,00-01_1,07-00_5,0.0002557638325233
118,00-01_1,07-01_0,0.0199536541043781
119,00-01_1,07-01_1,1.723152278960035e-05
120,00-01_1,07-01_3,4.112444756596389e-05
121,00-01_1,07-01_4,2.8105555010709364e-05
122,00-01_1,07-01_5,3.3632269244315176e-05
123,00-01_2,00-01_2,0.0
124,00-01_2,00-01_3,3.193982389320767e-14
125,00-01_2,00-01_4,1.0404697858260267e-20
126,00-01_2,00-01_5,1.1609590458315934e-13
127,00-01_2,01-00_1,0.0416649723078179
128,00-01_2,01-00_3,0.0145462157788226
129,00-01_2,01-00_4,0.033506823176883
130,00-01_2,01-00_5,0.00998953306982
131,00-01_2,01-01_0,0.0271210227427191
132,00-01_2,01-01_1,8.765969571559576e-06
133,00-01_2,01-01_2,5.745150100688382e-10
134,00-01_2,01-01_3,4.4291499072363006e-05
135,00-01_2,01-01_4,1.978984613975613e-06
136,00-01_2,01-01_5,0.0002466858472304
137,00-01_2,02-00_0,0.0392021209984124
138,00-01_2,02-00_2,0.0112317133234906
139,00-01_2,02-01_0,0.0007158106450029
140,00-01_2,02-01_1,1.9766849133999795e-05
141,00-01_2,02-01_2,5.4423548117439824e-11
142,00-01_2,02-01_3,0.0005314953868147
143,00-01_2,02-01_4,4.5922308953902966e-05
144,00-01_2,02-01_5,0.000337632398939
145,00-01_2,03-00_2,0.0051908108013
146,00-01_2,03-00_4,0.0350794905423195
147,00-01_2,03-01_2,8.374874011011151e-05
148,00-01_2,04-00_0,0.0028880032174116
149,00-01_2,04-00_1,0.020010429022331
150,00-01_2,04-00_2,1.200176837436925e-06
151,00-01_2,04-00_3,0.0149765097366033
152,00-01_2,04-00_4,0.0356124170135497
153,00-01_2,04-00_5,0.0011016147086753
154,00-01_2,04-01_0,0.0211381457007812
155,00-01_2,04-01_1,0.0005023910438287
156,00-01_2,04-01_2,8.199451255412276e-05
157,00-01_2,04-01_3,3.208916778290638e-05
158,00-01_2,04-01_4,8.382908007379808e-05
159,00-01_2,04-01_5,0.0001227835695616
160,00-01_2,05-01_0,0.037454491085022
161,00-01_2,05-01_2,5.501552942364251e-06
162,00-01_2,05-01_3,0.0023531541541862
163,00-01_2,06-00_2,7.278917648180818e-05
164,00-01_2,06-00_3,0.0327785216666037
165,00-01_2,06-00_4,0.0095910065568762
166,00-01_2,06-00_5,0.0275507835841634
167,00-01_2,06-01_0,5.308112369721885e-06
168,00-01_2,06-01_1,0.000949024425073
169,00-01_2,06-01_2,9.186197988834125e-14
170,00-01_2,06-01_3,5.658178870940929e-05
171,00-01_2,06-01_4,0.0001346474204139
172,00-01_2,06-01_5,0.0002643972769392
173,00-01_2,07-00_0,0.0475675353536673
174,00-01_2,07-00_1,0.0223555387654196
175,00-01_2,07-00_2,0.0002660789028735
176,00-01_2,07-00_3,0.0217590454684667
