,col_a,col_b,pvalue
114,01-01_4,06-01_1,2.267014482872567e-22
115,01-01_4,06-01_3,2.5237056916833562e-23
116,01-01_4,06-01_4,5.897634194696101e-27
117,01-01_4,06-01_5,3.709652400366642e-19
118,01-01_5,01-01_5,0.0
119,01-01_5,02-01_1,1.1376591834342934e-19
120,01-01_5,02-01_3,2.550567821696261e-23
121,01-01_5,02-01_4,9.120636300863026e-20
122,01-01_5,02-01_5,1.130144021888451e-23
123,01-01_5,06-01_1,4.782529303051869e-23
124,01-01_5,06-01_3,1.0101828316686568e-22
125,01-01_5,06-01_4,1.5484821529875162e-20
126,01-01_5,06-01_5,7.089915975954745e-25
127,02-00_0,02-00_0,0.0
128,02-00_0,02-00_2,5.927092296083722e-36
129,02-00_0,02-00_5,4.196987582719534e-17
130,02-00_0,02-01_0,4.3291827066384647e-19
131,02-00_0,03-00_0,4.862914262096137e-19
132,02-00_0,06-00_0,6.708604218216435e-21
133,02-00_1,02-00_1,0.0
134,02-00_1,02-00_3,1.2979203149029273e-76
135,02-00_1,02-00_4,2.1790382021125424e-134
136,02-00_1,02-00_5,6.980024020819075e-84
137,02-00_1,02-01_1,1.1247290576436862e-19
138,02-00_1,02-01_3,7.681943885844714e-18
139,02-00_1,02-01_4,5.58244336968565e-19
140,02-00_1,02-01_5,1.5939142149453858e-17
141,02-00_1,03-00_1,9.400915710633117e-18
142,02-00_1,03-00_3,5.520700164293098e-19
143,02-00_1,03-00_4,3.9421686888919847e-19
144,02-00_2,02-00_2,0.0
145,02-00_2,03-00_2,2.212941756959257e-15
146,02-00_3,02-00_3,0.0
147,02-00_3,02-00_4,3.245282016339951e-102
148,02-00_3,02-00_5,5.9200630679784566e-114
149,02-00_3,02-01_3,2.553083701804426e-16
150,02-00_3,02-01_4,4.458792766006683e-15
151,02-00_3,03-00_3,1.8479021828767016e-23
152,02-00_3,03-00_4,1.0290471182906022e-18
153,02-00_4,02-00_4,0.0
154,02-00_4,02-00_5,1.4200791517569601e-65
155,02-00_4,02-01_1,7.651156811969411e-17
156,02-00_4,02-01_3,8.051324537213086e-18
157,02-00_4,02-01_4,5.967334749021022e-20
158,02-00_4,02-01_5,3.632688453329095e-15
159,02-00_4,03-00_3,2.0051168979053727e-20
160,02-00_4,03-00_4,5.979322767264271e-21
161,02-00_5,02-00_5,0.0
162,02-00_5,02-01_5,1.7389334882723605e-15
163,02-00_5,03-00_3,1.2388732262711736e-19
164,02-00_5,03-00_5,1.8820197810539061e-16
165,02-01_0,02-01_0,0.0
166,02-01_0,02-01_2,1.4596166761052015e-30
167,02-01_0,02-01_5,8.097825413907147e-18
168,02-01_1,02-01_1,0.0
169,02-01_1,02-01_2,8.210220067083356e-18
170,02-01_1,02-01_3,1.418960576962233e-107
171,02-01_1,02-01_4,2.438278922917192e-160
172,02-01_1,02-01_5,1.462451765745195e-127
173,02-01_1,06-01_1,4.857564688740386e-18
174,02-01_1,06-01_3,6.783995874975156e-18
175,02-01_1,06-01_4,1.1757685915994611e-20
176,02-01_1,06-01_5,5.249333375964033e-16
177,02-01_2,02-01_2,0.0
178,02-01_2,02-01_4,3.593952202645912e-16
179,02-01_2,02-01_5,2.2335682686397684e-15
180,02-01_2,04-01_2,5.733666129422776e-19
