,col_a,col_b,pvalue
131,00-01_2,04-01_3,4.195070773766928e-05
132,00-01_2,04-01_4,1.990469395438896e-05
133,00-01_2,04-01_5,2.5658552503404065e-05
134,00-01_2,05-01_2,4.782575115372473e-08
135,00-01_2,05-01_3,6.86006154405785e-05
136,00-01_2,05-01_4,0.0006168525310761
137,00-01_2,05-01_5,0.008408688313248
138,00-01_2,06-01_0,2.742283688936523e-07
139,00-01_2,06-01_1,3.2573212145215334e-07
140,00-01_2,06-01_2,3.212778722415688e-19
141,00-01_2,06-01_3,4.168836818128146e-07
142,00-01_2,06-01_4,1.3396505912424396e-06
143,00-01_2,06-01_5,4.438425773645671e-09
144,00-01_2,07-01_0,0.0006273110799976
145,00-01_2,07-01_2,7.014262722337534e-05
146,00-01_3,00-01_3,0.0
147,00-01_3,00-01_4,3.5909227860835564e-108
148,00-01_3,00-01_5,1.6911554869413043e-105
149,00-01_3,01-00_1,0.0005374993025362
150,00-01_3,01-00_3,0.0004814320015765
151,00-01_3,01-00_4,0.0011042923299677
152,00-01_3,01-00_5,0.0006834359977908
153,00-01_3,01-01_0,0.0028464461564884
154,00-01_3,01-01_1,9.855696528487628e-11
155,00-01_3,01-01_2,8.708983733908996e-05
156,00-01_3,01-01_3,5.898805924281117e-12
157,00-01_3,01-01_4,1.4733248250488931e-09
158,00-01_3,01-01_5,1.4999392408619618e-10
159,00-01_3,02-00_1,0.0004004984006106
160,00-01_3,02-00_3,0.0011171199544645
161,00-01_3,02-00_4,0.0016515598863733
162,00-01_3,02-00_5,0.0003827768068499
163,00-01_3,02-01_1,1.7606842738643006e-10
164,00-01_3,02-01_2,3.613889924960672e-05
165,00-01_3,02-01_3,8.150647987088951e-12
166,00-01_3,02-01_4,1.633650744665793e-10
167,00-01_3,02-01_5,4.44226030399392e-11
168,00-01_3,03-00_1,0.0006003643848829
169,00-01_3,03-00_2,0.0039840464932072
170,00-01_3,03-00_3,0.000123737038234
171,00-01_3,03-00_4,4.940115841526766e-05
172,00-01_3,03-00_5,0.0047202560041562
173,00-01_3,03-01_1,3.813610116853693e-06
174,00-01_3,03-01_2,0.0064189401869045
175,00-01_3,03-01_3,4.1898687030159164e-10
176,00-01_3,03-01_4,1.9751616746879124e-08
177,00-01_3,03-01_5,2.3537756751473987e-05
178,00-01_3,04-00_1,0.0018373179666843
179,00-01_3,04-00_2,8.42600932535458e-05
180,00-01_3,04-00_3,0.0009622834818912
181,00-01_3,04-00_4,0.0011005705634102
182,00-01_3,04-00_5,0.0003049495419352
183,00-01_3,04-01_1,1.076686866900955e-08
184,00-01_3,04-01_2,5.09892860213277e-07
185,00-01_3,04-01_3,2.83737869316093e-10
186,00-01_3,04-01_4,1.481583047289276e-10
187,00-01_3,04-01_5,1.6376346217847724e-09
188,00-01_3,05-00_3,0.001252943699455
189,00-01_3,05-00_4,0.0086701865938853
190,00-01_3,05-01_0,0.0002145700223736
191,00-01_3,05-01_1,0.0029961923391115
192,00-01_3,05-01_2,0.0046101143946743
193,00-01_3,05-01_3,9.002773926658281e-08
194,00-01_3,05-01_4,1.0816747278820938e-05
195,00-01_3,05-01_5,0.0014449295417708
196,00-01_3,06-00_1,0.0047252659698462
197,00-01_3,06-00_2,0.0078826535217573
198,00-01_3,06-00_3,0.0014838586875133
