,col_a,col_b,pvalue
314,1,04-01_2,4.041386090379297e-21
263,1,04-01_1,9.153322747242522e-22
313,1,04-01_1,0.0
262,1,04-00_5,7.265355025989135e-151
261,1,04-00_4,1.7038147684322622e-167
260,1,04-00_3,5.566966078741317e-138
259,1,04-00_2,5.499596145629313e-19
258,1,04-00_1,0.0
211,1,03-01_5,7.792606265937793e-17
232,1,03-01_5,3.3864295223985083e-66
231,1,03-01_4,1.369543830473191e-105
210,1,03-01_3,8.202443747163827e-17
230,1,03-01_3,1.1451298116021963e-54
209,1,03-01_1,3.7408667172040085e-16
229,1,03-01_1,0.0
208,1,03-00_5,2.6026359260537207e-94
143,1,03-00_4,3.9421686888919847e-19
207,1,03-00_4,1.0538595112736284e-113
142,1,03-00_3,5.520700164293098e-19
206,1,03-00_3,1.383401185870169e-74
205,1,03-00_2,6.314322227669095e-16
141,1,03-00_1,9.400915710633117e-18
204,1,03-00_1,0.0
88,1,02-01_5,2.023119987218556e-23
140,1,02-01_5,1.5939142149453858e-17
172,1,02-01_5,1.462451765745195e-127
87,1,02-01_4,6.151129039166932e-22
139,1,02-01_4,5.58244336968565e-19
171,1,02-01_4,2.4382789229171922e-160
86,1,02-01_3,3.298614313832396e-23
138,1,02-01_3,7.681943885844714e-18
170,1,02-01_3,1.418960576962233e-107
169,1,02-01_2,8.210220067083356e-18
85,1,02-01_1,5.995104344813828e-22
137,1,02-01_1,1.1247290576436862e-19
168,1,02-01_1,0.0
136,1,02-00_5,6.9800240208190755e-84
135,1,02-00_4,2.1790382021125424e-134
134,1,02-00_3,1.2979203149029271e-76
133,1,02-00_1,0.0
51,1,01-01_5,5.304433234838559e-29
84,1,01-01_5,6.46865419157404e-145
50,1,01-01_4,4.334428124797333e-28
83,1,01-01_4,3.0911585471552044e-140
49,1,01-01_3,2.6287265167372358e-28
82,1,01-01_3,1.8289384473043767e-124
81,1,01-01_2,4.953577747556061e-19
48,1,01-01_1,3.910932490533221e-33
80,1,01-01_1,0.0
47,1,01-00_5,5.297756906409223e-118
46,1,01-00_4,3.1611952809000633e-121
45,1,01-00_3,1.1947069835820604e-100
44,1,01-00_1,0.0
11,1,00-01_5,2.7085704680157967e-104
10,1,00-01_4,5.052154434341314e-127
9,1,00-01_3,1.794557420703004e-87
8,1,00-01_2,1.4401255456865934e-31
7,1,00-01_1,0.0
490,2,07-01_5,5.612634975607793e-17
524,2,07-01_5,4.019932900561278e-28
523,2,07-01_4,1.3301535737831952e-19
522,2,07-01_3,6.68201368355836e-16
331,2,07-01_2,6.16840273795992e-44
489,2,07-01_2,1.5122657414996155e-24
521,2,07-01_2,0.0
488,2,07-01_1,4.7026511268297946e-17
487,2,07-01_0,3.595125486125101e-15
486,2,07-00_5,9.43173912057736e-38
485,2,07-00_4,1.3173372092232968e-30
484,2,07-00_3,7.38867407676675e-28
275,2,07-00_2,3.456839380047183e-16
330,2,07-00_2,1.6017772140796272e-23
483,2,07-00_2,0.0
456,2,06-01_5,1.128892494934782e-20
455,2,06-01_4,2.173587528223381e-23
454,2,06-01_3,1.0028401265609952e-19
20,2,06-01_2,3.212778722415688e-19
453,2,06-01_2,0.0
434,2,06-00_5,6.841222089203932e-18
433,2,06-00_4,2.2419355450995472e-20
432,2,06-00_3,4.8702978459021455e-18
431,2,06-00_2,0.0
414,2,05-01_5,4.2971476322467444e-20
413,2,05-01_4,6.176325591351867e-25
412,2,05-01_3,8.873581468137681e-18
383,2,05-01_2,4.29767875465613e-26
411,2,05-01_2,0.0
382,2,05-00_5,8.713802994187953e-27
381,2,05-00_4,1.4111562034706712e-33
380,2,05-00_3,7.690692917726549e-27
379,2,05-00_2,0.0
329,2,04-01_5,4.261006911658774e-18
180,2,04-01_2,5.733666129422776e-19
328,2,04-01_2,0.0
274,2,04-00_5,4.7543860517518093e-20
273,2,04-00_4,3.9458990807186044e-16
272,2,04-00_3,5.586186263758239e-16
271,2,04-00_2,0.0
234,2,03-01_2,0.0
213,2,03-00_4,1.0417836502996417e-18
145,2,03-00_2,2.212941756959257e-15
212,2,03-00_2,0.0
179,2,02-01_5,2.2335682686397684e-15
178,2,02-01_4,3.593952202645912e-16
177,2,02-01_2,0.0
144,2,02-00_2,0.0
96,2,01-01_5,3.586502152131218e-16
95,2,01-01_4,2.445626052983929e-20
94,2,01-01_3,4.311377622814897e-18
53,2,01-01_2,9.298185476801664e-18
93,2,01-01_2,0.0
52,2,01-00_2,0.0
19,2,00-01_5,1.9407237129144852e-22
18,2,00-01_4,6.776181986731693e-29
17,2,00-01_3,4.202542811508125e-20
16,2,00-01_2,0.0
342,3,07-01_5,4.0396833251607406e-38
497,3,07-01_5,1.838952400501412e-33
527,3,07-01_5,8.154301658788366e-145
341,3,07-01_4,9.049860521338528e-44
496,3,07-01_4,1.965825620603553e-31
526,3,07-01_4,1.5458774770966916e-191
340,3,07-01_3,1.4276625718356015e-43
495,3,07-01_3,8.771197607050104e-34
525,3,07-01_3,0.0
339,3,07-01_1,3.220079392127905e-39
494,3,07-01_1,3.015428584238047e-32
286,3,07-00_5,1.522111023088004e-17
338,3,07-00_5,2.4237110702611122e-18
493,3,07-00_5,3.071679514071801e-134
285,3,07-00_4,2.708541399809355e-20
337,3,07-00_4,6.080850031302784e-21
492,3,07-00_4,3.8983543515864927e-203
284,3,07-00_3,5.2478790512706945e-21
336,3,07-00_3,7.9979932713798e-22
491,3,07-00_3,0.0
283,3,07-00_1,6.947287308778149e-19
335,3,07-00_1,8.64410895365466e-20
27,3,06-01_5,1.6038854954447275e-20
107,3,06-01_5,1.6483632602668552e-23
187,3,06-01_5,1.9551040403240595e-15
243,3,06-01_5,8.395311190657857e-19
459,3,06-01_5,1.0716961256945704e-106
26,3,06-01_4,1.6114196373339473e-18
106,3,06-01_4,5.432298887642163e-24
186,3,06-01_4,1.3734142445243568e-17
242,3,06-01_4,2.104330531874584e-15
458,3,06-01_4,2.274099508637491e-115
25,3,06-01_3,7.15722747194334e-21
105,3,06-01_3,6.643533148791468e-27
185,3,06-01_3,4.412312924710449e-19
241,3,06-01_3,2.345022876549101e-16
438,3,06-01_3,2.1056835126059008e-16
457,3,06-01_3,0.0
24,3,06-01_1,6.1096311995718016e-18
104,3,06-01_1,5.186134323421741e-23
240,3,06-01_1,1.3395116877373609e-18
437,3,06-00_5,4.520693991079413e-106
436,3,06-00_4,2.7507666491256577e-131
435,3,06-00_3,0.0
390,3,05-01_5,1.936683760965209e-31
417,3,05-01_5,2.5905294942253886e-76
389,3,05-01_4,6.689659421644813e-29
416,3,05-01_4,1.4276710984745942e-72
388,3,05-01_3,1.4530297185782407e-40
415,3,05-01_3,0.0
387,3,05-01_1,7.029171316898305e-29
386,3,05-00_5,9.792878753724558e-77
385,3,05-00_4,1.1997158841186237e-89
384,3,05-00_3,0.0
282,3,04-01_5,5.162523775479903e-19
334,3,04-01_5,4.9085415395102144e-126
239,3,04-01_4,7.880610341531424e-18
