,x,y
0,302,246
1,302,200
2,302,216
3,292,159
4,302,187
5,302,170
6,300,131
7,222,133
8,301,105
9,300,88
10,300,25
11,303,252
12,302,256
13,302,257
14,302,258
15,303,262
16,302,267
17,303,274
18,302,288
19,302,208
20,292,208
21,178,91
22,252,143
23,242,145
24,231,144
25,218,139
26,263,139
27,240,115
28,252,115
29,230,118
30,222,122
31,209,147
32,260,314
33,219,131
34,174,145
35,196,140
36,247,194
37,289,245
38,291,256
39,275,249
40,266,255
41,281,257
42,272,259
43,252,275
44,292,200
45,292,187
46,203,110
47,268,162
48,267,200
49,266,193
50,213,195
51,292,172
52,231,96
53,215,101
54,190,66
55,280,103
56,261,118
57,244,264
58,185,267
59,274,207
60,284,211
61,256,264
62,260,262
63,207,93
64,266,206
65,253,96
66,250,85
67,237,33
68,199,78
69,244,57
70,197,105
71,187,98
72,290,252
73,279,255
74,269,258
75,278,209
76,258,264
77,263,263
78,261,262
79,281,201
80,274,259
81,282,258
82,292,257
83,288,288
84,290,275
85,290,267
86,291,262
87,291,258
88,273,259
89,272,261
90,270,264
91,268,269
92,257,241
93,173,205
94,302,211
95,267,261
96,266,262
97,288,216
98,271,214
99,286,214
100,257,170
101,239,179
102,264,199
103,209,46
104,218,65
105,227,86
106,261,280
107,276,86
108,271,54
109,266,26
110,223,142
111,196,157
112,268,136
113,208,125
114,276,153
115,274,194
116,184,166
117,205,165
118,220,169
119,240,166
120,255,161
121,267,153
122,290,134
123,186,193
124,199,124
125,297,208
126,269,174
127,170,147
128,276,145
129,263,200
130,215,132
131,273,186
132,177,235
133,268,131
134,282,178
135,210,291
136,210,307
137,174,199
138,196,275
139,181,119
140,257,327
141,298,211
142,260,184
143,186,143
144,233,136
145,242,137
146,261,266
147,189,219
148,277,343
149,243,330
150,228,321
151,300,55
152,301,344
153,251,136
154,260,134
155,266,132
156,190,123
157,259,123
158,250,121
159,241,120
160,231,122
161,226,126
162,172,115
163,226,134
164,302,225
165,266,232
166,274,205
167,287,227
168,300,118
169,226,306
170,241,316
171,276,333
172,197,290
173,266,127
174,284,155
175,301,334
176,259,338
177,178,227
178,282,259
179,281,261
180,279,266
181,278,272
182,274,285
183,266,262
184,263,261
185,259,259
186,248,252
187,205,224
188,283,143
189,277,122
190,271,125
191,267,260
192,202,256
193,287,120
194,266,299
195,301,157
196,291,147
197,301,144
198,276,176
199,301,320
200,302,303
201,284,304
202,240,280
203,255,211
204,252,292
205,229,210
206,244,224
207,220,232
208,279,320
209,269,183
210,230,291
211,244,303
212,231,266
213,191,241
214,217,269
215,184,254
216,236,243
217,276,164
218,277,200
219,270,203
220,282,190
221,270,113
222,252,109
223,237,108
224,224,110
225,215,115
226,206,136
227,173,171
228,215,152
229,226,155
230,240,154
231,255,151
232,266,147
233,273,142
234,171,176
235,270,207
236,284,166
237,285,200
238,291,206
239,285,202
240,274,211
241,293,207
242,295,210
243,272,132
244,279,134
245,283,135
246,222,129
247,216,126
248,311,159
249,378,132
250,312,208
251,419,89
252,348,143
253,359,144
254,369,143
255,382,137
256,337,139
257,361,115
258,350,115
259,371,118
260,378,121
261,391,146
262,343,312
263,382,130
264,423,144
265,404,139
266,355,193
267,316,243
268,314,256
269,329,248
270,338,254
271,323,256
272,331,259
273,351,272
274,311,200
275,312,187
276,397,110
277,332,161
278,336,199
279,336,192
280,388,193
281,311,172
282,370,96
283,386,101
284,408,65
285,322,103
286,340,118
287,359,262
288,411,264
289,328,206
290,319,210
291,348,261
292,343,260
293,393,93
294,336,205
295,349,96
296,352,85
297,364,32
298,401,78
299,357,57
300,404,105
301,411,97
302,315,251
303,326,254
304,335,256
305,325,208
306,345,261
307,340,262
308,343,260
309,322,201
310,330,258
311,322,257
312,312,257
313,316,288
314,315,273
315,314,266
316,314,261
317,313,257
318,331,259
319,332,260
320,335,262
321,336,267
322,347,239
323,423,203
324,337,259
325,338,259
326,315,216
327,332,212
328,317,213
329,345,169
330,362,177
331,338,198
332,391,46
333,383,64
334,375,86
335,341,278
336,327,86
337,331,54
338,335,26
339,377,142
340,403,155
341,332,136
342,391,125
343,325,153
344,329,194
345,415,164
346,396,163
347,381,167
348,361,165
349,345,159
350,333,153
351,311,134
352,412,191
353,401,123
354,308,208
355,332,174
356,425,145
357,325,145
358,338,200
359,385,131
360,330,186
361,419,232
362,332,131
363,321,177
364,388,288
365,388,304
366,422,197
367,402,272
368,418,118
369,345,325
370,306,211
371,341,183
372,414,142
373,368,136
374,359,137
375,343,264
376,411,216
377,323,342
378,356,328
379,371,319
380,349,136
381,340,134
382,335,132
383,409,121
384,341,123
385,350,120
386,359,120
387,369,122
388,375,125
389,424,114
390,374,134
391,337,231
392,328,204
393,316,226
394,375,304
395,360,315
396,324,332
397,399,287
398,335,127
399,319,155
400,341,336
401,419,224
402,322,257
403,324,260
404,325,264
405,327,270
406,330,284
407,339,259
408,342,259
409,344,257
410,356,249
411,396,221
412,318,142
413,324,122
414,330,124
415,336,258
416,397,253
417,314,121
418,336,298
419,311,147
420,326,175
421,319,303
422,361,278
423,348,210
424,350,291
425,372,208
426,358,223
427,383,230
428,323,320
429,332,182
430,370,288
431,357,301
432,370,264
433,407,238
434,384,266
435,413,251
436,367,240
437,325,164
438,326,199
439,332,203
440,322,190
441,332,113
442,349,109
443,364,109
444,377,111
445,386,116
446,393,135
447,425,169
448,385,150
449,375,153
450,360,154
451,345,150
452,335,146
453,327,142
454,425,174
455,332,206
456,319,166
457,319,199
458,312,206
459,318,202
460,329,211
461,311,206
462,310,210
463,328,132
464,322,134
465,319,135
466,378,128
467,384,126
