,col_a,col_b,rvalue
0,00-01_0,00-01_0,1.0
1,00-01_1,00-01_1,1.0
2,00-01_2,00-01_2,1.0
3,00-01_3,00-01_3,1.0
4,00-01_4,00-01_4,1.0
5,00-01_5,00-01_5,1.0
6,01-00_0,01-00_0,1.0
7,01-00_1,01-00_1,1.0
8,01-00_2,01-00_2,1.0
9,01-00_3,01-00_3,1.0
10,01-00_4,01-00_4,1.0
11,01-00_5,01-00_5,1.0
12,01-01_0,01-01_0,1.0
13,01-01_1,01-01_1,1.0
14,01-01_2,01-01_2,1.0
15,01-01_3,01-01_3,1.0
16,01-01_4,01-01_4,1.0
17,01-01_5,01-01_5,1.0
18,02-00_0,02-00_0,1.0
19,02-00_1,02-00_1,1.0
20,02-00_1,02-00_4,0.9030041572112714
21,02-00_2,02-00_2,1.0
22,02-00_3,02-00_3,1.0
23,02-00_4,02-00_4,1.0
24,02-00_5,02-00_5,1.0
25,02-01_0,02-01_0,1.0
26,02-01_1,02-01_1,1.0
27,02-01_1,02-01_4,0.9098987666865112
28,02-01_2,02-01_2,1.0
29,02-01_3,02-01_3,1.0
30,02-01_4,02-01_4,1.0
31,02-01_5,02-01_5,1.0
32,03-00_0,03-00_0,1.0
33,03-00_1,03-00_1,1.0
34,03-00_2,03-00_2,1.0
35,03-00_3,03-00_3,1.0
36,03-00_4,03-00_4,1.0
37,03-00_5,03-00_5,1.0
38,03-01_0,03-01_0,1.0
39,03-01_1,03-01_1,1.0
40,03-01_2,03-01_2,1.0
41,03-01_3,03-01_3,1.0
42,03-01_4,03-01_4,1.0
43,03-01_5,03-01_5,1.0
44,04-00_0,04-00_0,1.0
45,04-00_1,04-00_1,1.0
46,04-00_1,04-00_4,0.9283816878770416
47,04-00_2,04-00_2,1.0
48,04-00_3,04-00_3,1.0
49,04-00_4,04-00_4,1.0
50,04-00_5,04-00_5,1.0
51,04-01_0,04-01_0,1.0
52,04-01_1,04-01_1,1.0
53,04-01_1,04-01_4,0.9195265093523142
54,04-01_2,04-01_2,1.0
55,04-01_3,04-01_3,1.0
56,04-01_3,04-01_5,0.9067176571433028
57,04-01_4,04-01_4,1.0
58,04-01_5,04-01_5,1.0
59,05-00_0,05-00_0,1.0
60,05-00_1,05-00_1,1.0
61,05-00_1,05-00_4,0.9174795107795696
62,05-00_2,05-00_2,1.0
63,05-00_3,05-00_3,1.0
64,05-00_4,05-00_4,1.0
65,05-00_5,05-00_5,1.0
66,05-01_0,05-01_0,1.0
67,05-01_1,05-01_1,1.0
68,05-01_2,05-01_2,1.0
69,05-01_3,05-01_3,1.0
70,05-01_4,05-01_4,1.0
71,05-01_5,05-01_5,1.0
72,06-00_0,06-00_0,1.0
73,06-00_1,06-00_1,1.0
74,06-00_1,06-00_4,0.9141803494949864
75,06-00_2,06-00_2,1.0
76,06-00_3,06-00_3,1.0
77,06-00_4,06-00_4,1.0
78,06-00_5,06-00_5,1.0
79,06-01_0,06-01_0,1.0
80,06-01_1,06-01_1,1.0
81,06-01_2,06-01_2,1.0
82,06-01_3,06-01_3,1.0
83,06-01_4,06-01_4,1.0
84,06-01_5,06-01_5,1.0
85,07-00_0,07-00_0,1.0
86,07-00_1,07-00_1,1.0
87,07-00_1,07-00_5,0.9083518009467468
88,07-00_2,07-00_2,1.0
89,07-00_3,07-00_3,1.0
90,07-00_4,07-00_4,1.0
91,07-00_5,07-00_5,1.0
92,07-01_0,07-01_0,1.0
93,07-01_1,07-01_1,1.0
94,07-01_1,07-01_4,0.9287738618566264
95,07-01_1,07-01_5,0.9363810945836376
96,07-01_2,07-01_2,1.0
97,07-01_3,07-01_3,1.0
98,07-01_3,07-01_4,0.9322226067161218
99,07-01_3,07-01_5,0.913932604259144
100,07-01_4,07-01_4,1.0
101,07-01_5,07-01_5,1.0
102,dbi_score,dbi_score,1.0
103,bai_score,bai_score,1.0
104,asrsa_score,asrsa_score,1.0
105,asrsb_score,asrsb_score,1.0
106,oci_score,oci_score,1.0
107,srq_score,srq_score,1.0
108,age,age,1.0
