,col_a,col_b,rvalue
247,0,07-01_5,0.6226760093340553
246,0,07-01_4,0.5091572100636147
245,0,07-01_3,0.5023369829213032
244,0,07-01_2,0.6190740668291804
243,0,07-01_1,0.5934194135139043
114,0,07-01_0,0.6207332152464459
223,0,07-01_0,0.5335313156885402
242,0,07-01_0,1.0
222,0,07-00_5,0.5888286222598139
221,0,07-00_3,0.5469894090061022
220,0,07-00_2,0.6033669746890792
219,0,07-00_1,0.5694816712516673
218,0,07-00_0,1.0
206,0,06-01_0,1.0
192,0,06-00_2,0.5127016060148745
191,0,06-00_0,1.0
177,0,05-01_5,0.5376508203468975
176,0,05-01_3,0.5039637120030822
147,0,05-01_0,0.5702822532508433
175,0,05-01_0,1.0
146,0,05-00_5,0.5179301998439549
145,0,05-00_3,0.5243909718232219
144,0,05-00_2,0.5796004791838812
143,0,05-00_0,1.0
113,0,04-01_0,1.0
101,0,04-00_5,0.5020426234845514
100,0,04-00_0,1.0
88,0,03-01_2,0.5002663645941738
30,0,03-01_0,0.5439023269305773
87,0,03-01_0,1.0
75,0,03-00_2,0.5034956238733782
45,0,03-00_0,0.5286171121076906
74,0,03-00_0,1.0
60,0,02-01_2,0.5334532413668143
59,0,02-01_0,1.0
44,0,02-00_2,0.569439245722124
43,0,02-00_0,1.0
29,0,01-01_2,0.5604673732449365
28,0,01-01_0,1.0
14,0,01-00_2,0.6359120089454362
13,0,01-00_0,1.0
0,0,00-01_0,1.0
122,1,07-01_5,0.5780462788083017
229,1,07-01_5,0.5023548064298988
252,1,07-01_5,0.9363810945836376
121,1,07-01_4,0.6116412992043784
251,1,07-01_4,0.9287738618566264
120,1,07-01_3,0.5497916524534501
250,1,07-01_3,0.8594551370533485
249,1,07-01_2,0.6098887980530469
119,1,07-01_1,0.6316717049643008
248,1,07-01_1,1.0
228,1,07-00_5,0.9083518009467468
227,1,07-00_4,0.8961834028931501
226,1,07-00_3,0.8526927930590401
225,1,07-00_2,0.5790957694426266
224,1,07-00_1,1.0
210,1,06-01_5,0.8421603816358585
209,1,06-01_4,0.8548400727596972
208,1,06-01_3,0.7690566209075083
207,1,06-01_1,1.0
197,1,06-00_5,0.8608426876090478
196,1,06-00_4,0.9141803494949864
195,1,06-00_3,0.8422039307454487
194,1,06-00_2,0.5107832898253106
193,1,06-00_1,1.0
155,1,05-01_5,0.5208085139614608
182,1,05-01_5,0.767521341970118
154,1,05-01_4,0.5484351319219255
181,1,05-01_4,0.8382099011753922
180,1,05-01_3,0.5809814696576917
179,1,05-01_2,0.5842903746646751
153,1,05-01_1,0.6515875628995612
178,1,05-01_1,1.0
152,1,05-00_5,0.8364109859799508
151,1,05-00_4,0.9174795107795696
150,1,05-00_3,0.7592353106468073
149,1,05-00_2,0.6465304457492631
148,1,05-00_1,1.0
118,1,04-01_5,0.8891624769245214
117,1,04-01_4,0.9195265093523142
116,1,04-01_3,0.8190872260621671
115,1,04-01_1,1.0
105,1,04-00_5,0.8815260496977607
104,1,04-00_4,0.9283816878770416
103,1,04-00_3,0.8555743325152293
102,1,04-00_1,1.0
92,1,03-01_5,0.7627316790835261
91,1,03-01_4,0.8422744630302731
90,1,03-01_3,0.6709494681712036
89,1,03-01_1,1.0
79,1,03-00_5,0.8484582440290462
78,1,03-00_4,0.8522825066655065
77,1,03-00_3,0.7536655913600883
76,1,03-00_1,1.0
64,1,02-01_5,0.8683688909917715
63,1,02-01_4,0.9098987666865112
62,1,02-01_3,0.8165388629553835
35,1,02-01_1,0.5133422903923319
61,1,02-01_1,1.0
49,1,02-00_5,0.7970548907042247
48,1,02-00_4,0.9030041572112714
47,1,02-00_3,0.7487266603788257
46,1,02-00_1,1.0
34,1,01-01_5,0.8975310402001972
33,1,01-01_4,0.885276404357157
32,1,01-01_3,0.8417436060404471
19,1,01-01_1,0.5121652687774264
31,1,01-01_1,1.0
18,1,01-00_5,0.8779245210112403
17,1,01-00_4,0.856010994878189
16,1,01-00_3,0.7975321929445272
15,1,01-00_1,1.0
5,1,00-01_5,0.8625669447748854
4,1,00-01_4,0.8871869347177057
3,1,00-01_3,0.819345795138839
2,1,00-01_2,0.5076659927909821
1,1,00-01_1,1.0
255,2,07-01_5,0.5694751728706651
254,2,07-01_4,0.5078057244337907
124,2,07-01_2,0.6424993873502844
233,2,07-01_2,0.5078397944188408
253,2,07-01_2,1.0
232,2,07-00_5,0.527264207946518
231,2,07-00_4,0.5339015496114542
230,2,07-00_2,1.0
211,2,06-01_2,1.0
199,2,06-00_4,0.5115381377031667
198,2,06-00_2,1.0
184,2,05-01_5,0.513332102284243
160,2,05-01_2,0.5781503355929619
183,2,05-01_2,1.0
159,2,05-00_5,0.5883368592678584
158,2,05-00_4,0.6244826866356398
157,2,05-00_3,0.556714566627692
156,2,05-00_2,1.0
67,2,04-01_2,0.5015829817524086
123,2,04-01_2,1.0
106,2,04-00_2,1.0
66,2,03-01_2,0.5088560752785283
93,2,03-01_2,1.0
80,2,03-00_2,1.0
65,2,02-01_2,1.0
50,2,02-00_2,1.0
36,2,01-01_2,1.0
20,2,01-00_2,1.0
6,2,00-01_2,1.0
131,3,07-01_5,0.563333608256698
258,3,07-01_5,0.913932604259144
130,3,07-01_4,0.5878077634567939
257,3,07-01_4,0.9322226067161218
129,3,07-01_3,0.6098990677417799
256,3,07-01_3,1.0
128,3,07-01_1,0.5479002578957676
236,3,07-00_5,0.8591098283509638
235,3,07-00_4,0.8785401153158567
234,3,07-00_3,1.0
214,3,06-01_5,0.8293388401068885
213,3,06-01_4,0.855046975626414
212,3,06-01_3,1.0
202,3,06-00_5,0.877086852548009
201,3,06-00_4,0.8847605632823898
200,3,06-00_3,1.0
166,3,05-01_5,0.5626573317485707
187,3,05-01_5,0.8066241427371998
186,3,05-01_4,0.6079765502536149
165,3,05-01_3,0.5574676860863031
185,3,05-01_3,1.0
164,3,05-01_1,0.5065405707262632
163,3,05-00_5,0.8461135633725059
162,3,05-00_4,0.7718637716770523
161,3,05-00_3,1.0
127,3,04-01_5,0.9067176571433028
126,3,04-01_4,0.8889110114117764
125,3,04-01_3,1.0
109,3,04-00_5,0.8949600857539391
108,3,04-00_4,0.8789435353507502
107,3,04-00_3,1.0
96,3,03-01_5,0.8249014469478451
95,3,03-01_4,0.7075732408622919
94,3,03-01_3,1.0
83,3,03-00_5,0.8516069628480587
82,3,03-00_4,0.8177887406363715
54,3,03-00_3,0.5195189161192706
81,3,03-00_3,1.0
70,3,02-01_5,0.8780753577010582
69,3,02-01_4,0.8565012207821732
68,3,02-01_3,1.0
53,3,02-00_5,0.8780737531302469
52,3,02-00_4,0.8182569567648096
51,3,02-00_3,1.0
39,3,01-01_5,0.894998510847298
38,3,01-01_4,0.8107729309724442
37,3,01-01_3,1.0
23,3,01-00_5,0.8502090062906819
22,3,01-00_4,0.8161653656488479
21,3,01-00_3,1.0
9,3,00-01_5,0.8851820175669203
8,3,00-01_4,0.848954538077141
7,3,00-01_3,1.0
137,4,07-01_5,0.5326806338611723
260,4,07-01_5,0.8876835479648579
136,4,07-01_4,0.6234210472612719
259,4,07-01_4,1.0
135,4,07-01_3,0.5668969385785279
134,4,07-01_1,0.5760477280477613
238,4,07-00_5,0.7731737067390301
237,4,07-00_4,1.0
