,col_a,col_b,rvalue
1474,0,07-01_5,0.2094811673596648
1630,0,07-01_5,0.3675054429668596
2116,0,07-01_5,0.475618899112642
2167,0,07-01_5,0.6226760093340553
1629,0,07-01_4,0.3405074260370684
2115,0,07-01_4,0.3852554134706261
2166,0,07-01_4,0.5091572100636147
1628,0,07-01_3,0.3344631630889659
1910,0,07-01_3,0.2002077028413438
2114,0,07-01_3,0.3915585534841145
2165,0,07-01_3,0.5023369829213032
700,0,07-01_2,0.2175451330616026
900,0,07-01_2,0.213320900596427
1306,0,07-01_2,0.2388931506224775
1627,0,07-01_2,0.4457832562806704
1909,0,07-01_2,0.2230700053606542
2113,0,07-01_2,0.4214282148189259
2164,0,07-01_2,0.6190740668291804
1626,0,07-01_1,0.3678424003565871
2112,0,07-01_1,0.452062810963003
2163,0,07-01_1,0.5934194135139043
466,0,07-01_0,0.2312315891211986
1473,0,07-01_0,0.3136468207299015
1625,0,07-01_0,0.6207332152464459
2111,0,07-01_0,0.5335313156885402
2162,0,07-01_0,1.0
239,0,07-00_5,0.2147211634183833
1120,0,07-00_5,0.2552147570016342
1472,0,07-00_5,0.2976485814016207
1624,0,07-00_5,0.3126702783348788
1791,0,07-00_5,0.2013879200605353
2110,0,07-00_5,0.5888286222598139
238,0,07-00_4,0.2236199880274806
699,0,07-00_4,0.2030932099636857
899,0,07-00_4,0.2083275964949334
1119,0,07-00_4,0.3060136667367641
1471,0,07-00_4,0.2794161013850496
1623,0,07-00_4,0.2999995322484706
2109,0,07-00_4,0.4986762390808497
898,0,07-00_3,0.2303505304802912
1118,0,07-00_3,0.2413253601269846
1470,0,07-00_3,0.2633610239054529
1622,0,07-00_3,0.2942811595930208
2108,0,07-00_3,0.5469894090061022
237,0,07-00_2,0.2918209334825148
465,0,07-00_2,0.2202388070455363
698,0,07-00_2,0.3208100764650166
897,0,07-00_2,0.237047759234447
1117,0,07-00_2,0.3271162034468656
1305,0,07-00_2,0.2024221009958826
1469,0,07-00_2,0.3678583525940095
1621,0,07-00_2,0.3770049721242267
1790,0,07-00_2,0.250784400977401
1979,0,07-00_2,0.2734894577470847
2051,0,07-00_2,0.2340108012738118
2107,0,07-00_2,0.6033669746890792
236,0,07-00_1,0.2403220568253883
697,0,07-00_1,0.2159339935974522
1116,0,07-00_1,0.2878921287240783
1468,0,07-00_1,0.3149709050660042
1620,0,07-00_1,0.3247136970648919
2106,0,07-00_1,0.5694816712516673
235,0,07-00_0,0.2513241440129204
464,0,07-00_0,0.2171348599387853
696,0,07-00_0,0.2270930651863676
896,0,07-00_0,0.2025288382536144
1115,0,07-00_0,0.3034851368118668
1467,0,07-00_0,0.4073142244555839
1619,0,07-00_0,0.4433439961507955
1978,0,07-00_0,0.2677756443905437
2105,0,07-00_0,1.0
13,0,06-01_5,0.236674766407319
463,0,06-01_5,0.2173618995380913
695,0,06-01_5,0.2082033702560612
1114,0,06-01_5,0.2005991105037876
1908,0,06-01_5,0.2157998429000254
1977,0,06-01_5,0.2551935666334327
2050,0,06-01_5,0.3771271098412433
