,x,y
0,301,230
1,298,184
2,300,201
3,290,149
4,298,172
5,298,158
6,299,125
7,223,132
8,299,102
9,299,87
10,299,25
11,301,236
12,301,241
13,302,244
14,302,243
15,302,247
16,302,253
17,302,260
18,302,279
19,299,192
20,289,194
21,187,93
22,254,140
23,244,142
24,233,141
25,220,136
26,263,137
27,240,113
28,251,113
29,230,115
30,223,119
31,212,144
32,260,307
33,220,130
34,184,145
35,200,138
36,246,184
37,287,228
38,289,242
39,273,233
40,264,240
41,279,243
42,271,245
43,253,261
44,289,184
45,288,173
46,206,107
47,268,155
48,264,186
49,263,181
50,215,186
51,289,160
52,231,93
53,216,98
54,196,68
55,278,101
56,261,116
57,244,250
58,195,263
59,272,193
60,282,197
61,256,249
62,261,248
63,209,89
64,264,192
65,251,94
66,248,83
67,237,34
68,203,77
69,244,56
70,199,102
71,194,98
72,288,236
73,276,239
74,268,243
75,275,196
76,258,249
77,264,249
78,262,247
79,278,187
80,273,245
81,281,244
82,291,244
83,288,278
84,290,260
85,290,252
86,291,246
87,291,243
88,273,245
89,272,246
90,269,250
91,268,255
92,255,227
93,184,204
94,299,197
95,269,246
96,266,247
97,286,202
98,269,200
99,284,199
100,257,163
101,240,172
102,262,186
103,212,49
104,220,63
105,227,83
106,262,268
107,273,85
108,269,54
109,266,27
110,225,140
111,201,153
112,269,134
113,211,123
114,275,147
115,270,180
116,191,163
117,208,160
118,221,162
119,242,160
120,257,154
121,268,148
122,289,129
123,192,188
124,203,122
125,294,192
126,268,165
127,183,148
128,276,141
129,261,189
130,217,131
131,270,173
132,188,233
133,269,129
134,280,165
135,214,283
136,216,302
137,184,197
138,202,269
139,189,120
140,257,322
141,295,196
142,258,175
143,193,142
144,233,135
145,244,136
146,261,252
147,194,212
148,279,343
149,245,327
150,231,317
151,299,53
152,302,344
153,252,135
154,260,132
155,266,131
156,196,120
157,259,123
158,250,122
159,242,121
160,233,123
161,227,125
162,184,118
163,228,134
164,300,211
165,264,219
166,272,190
167,285,212
168,300,114
169,228,299
170,242,311
171,278,330
172,205,285
173,266,126
174,281,147
175,302,332
176,260,336
177,187,223
178,281,244
179,281,246
180,279,251
181,278,258
182,274,273
183,265,247
184,261,246
185,258,245
186,247,238
187,207,215
188,282,137
189,277,120
190,270,123
191,267,245
192,206,247
193,286,117
194,267,290
195,299,147
