,x,y
0,290,244
1,291,199
2,291,213
3,282,156
4,292,186
5,292,168
6,295,128
7,207,127
8,296,94
9,297,76
10,300,25
11,290,250
12,290,255
13,290,257
14,290,261
15,289,266
16,289,274
17,289,281
18,289,293
19,291,205
20,280,205
21,165,84
22,242,138
23,230,139
24,218,139
25,203,132
26,252,134
27,226,106
28,239,106
29,214,108
30,206,112
31,193,140
32,242,310
33,203,124
34,159,136
35,180,132
36,232,189
37,276,241
38,278,254
39,262,245
40,252,250
41,268,254
42,260,255
43,236,268
44,281,198
45,280,186
46,186,97
47,257,158
48,255,195
49,254,189
50,197,189
51,281,170
52,213,81
53,197,86
54,177,61
55,268,90
56,251,111
57,228,257
58,169,251
59,263,202
60,272,207
61,242,257
62,247,256
63,191,79
64,255,201
65,236,81
66,234,71
67,228,31
68,184,70
69,232,51
70,179,92
71,172,89
72,276,249
73,265,251
74,256,253
75,266,205
76,246,257
77,249,259
78,248,255
79,269,198
80,262,255
81,270,255
82,280,256
83,272,292
84,274,280
85,275,272
86,276,265
87,278,260
88,259,258
89,258,259
90,254,263
91,251,267
92,242,235
93,159,191
94,291,208
95,255,258
96,252,258
97,276,213
98,259,209
99,275,210
100,244,165
101,225,174
102,252,195
103,197,43
104,203,56
105,209,71
106,245,277
107,264,73
108,264,51
109,262,27
110,208,137
111,180,151
112,259,131
113,193,116
114,266,148
115,262,191
116,168,159
117,188,159
118,204,163
119,227,160
120,244,155
121,257,148
122,283,131
123,169,185
124,183,113
125,285,205
126,258,170
127,157,137
128,267,141
129,251,196
130,199,126
131,261,182
132,161,221
133,259,126
134,271,175
135,192,280
136,193,294
137,159,189
138,180,263
139,165,112
140,239,323
141,287,208
142,247,179
143,169,135
144,219,132
145,230,132
146,246,262
147,172,209
148,260,341
149,224,322
150,210,310
151,299,52
152,287,344
153,240,132
154,250,130
155,256,127
156,174,111
157,248,118
158,238,115
159,227,115
160,216,116
161,209,120
162,159,108
163,211,130
164,291,223
165,252,228
166,263,201
167,275,223
168,295,111
169,208,297
