,x,y
0,288,247
1,288,206
2,290,219
3,283,163
4,288,192
5,289,175
6,295,133
7,224,131
8,298,103
9,299,86
10,300,25
11,288,253
12,288,258
13,289,260
14,289,262
15,288,267
16,289,274
17,289,281
18,291,292
19,288,213
20,280,211
21,194,85
22,253,142
23,242,143
24,233,142
25,221,136
26,263,139
27,239,113
28,251,113
29,229,114
30,222,119
31,213,144
32,253,310
33,220,128
34,190,137
35,203,135
36,242,193
37,275,244
38,278,257
39,263,247
40,256,253
41,269,257
42,263,259
43,245,270
44,278,205
45,277,192
46,206,105
47,265,162
48,257,201
49,258,194
50,214,191
51,280,176
52,228,93
53,214,97
54,202,63
55,274,100
56,261,117
57,238,260
58,205,250
59,264,208
60,274,213
61,249,260
62,255,259
63,209,89
64,258,206
65,248,93
66,245,82
67,239,32
68,205,75
69,243,56
70,201,100
71,197,92
72,276,252
73,266,253
74,259,256
75,268,211
76,252,260
77,255,262
78,256,259
79,269,205
80,266,258
81,272,258
82,280,259
83,278,291
84,277,279
85,277,272
86,278,266
87,279,261
88,264,260
89,263,261
90,259,264
91,258,268
92,249,238
93,196,191
94,289,216
95,261,260
96,258,260
97,277,218
98,262,214
99,275,216
100,254,169
101,237,177
102,256,199
103,215,44
104,219,63
105,224,82
106,255,278
107,271,84
108,269,55
109,266,26
110,225,140
111,203,152
112,269,136
113,212,121
114,272,154
115,263,197
116,194,160
117,208,161
118,220,166
119,240,163
120,255,158
121,266,153
122,286,137
123,194,186
124,204,119
125,283,212
126,264,174
127,192,137
128,274,146
129,256,200
130,218,130
131,263,188
132,199,219
133,269,131
134,271,181
135,217,280
136,221,292
137,190,189
138,207,263
139,193,113
140,252,322
141,284,214
142,255,183
143,196,137
144,234,135
145,242,136
146,253,264
147,197,210
148,272,340
149,244,321
150,233,310
151,299,55
152,294,344
153,252,136
154,260,133
155,266,133
156,199,116
157,259,123
158,251,119
159,241,118
160,231,120
161,225,124
162,192,108
163,227,133
164,289,228
165,257,231
166,264,206
167,275,228
168,297,118
169,228,296
170,239,309
171,270,332
172,213,274
173,266,128
174,277,157
175,292,336
176,256,331
177,194,215
178,271,260
179,269,263
180,267,268
181,266,275
182,264,285
183,258,259
184,255,258
185,251,256
186,241,248
187,208,217
188,279,144
189,277,122
190,270,125
191,261,258
192,208,246
193,284,120
194,259,297
195,292,161
196,283,150
197,294,147
198,269,177
199,291,323
200,291,306
201,274,305
202,236,275
203,249,210
204,247,288
205,227,207
206,239,221
207,219,227
208,270,320
209,263,184
210,230,283
211,241,297
212,229,260
213,200,230
214,219,260
215,199,239
216,231,238
217,271,166
218,266,203
219,259,205
220,269,194
221,267,113
222,250,106
223,234,106
224,223,107
225,215,113
226,211,132
227,189,163
228,217,149
229,228,152
230,241,152
231,255,150
232,265,146
233,272,141
234,194,164
235,261,208
236,275,169
237,272,203
238,278,210
239,272,205
240,264,213
241,280,211
242,281,214
243,272,131
244,278,135
245,280,136
246,222,127
247,217,122
248,302,163
249,388,132
250,300,212
251,436,87
252,352,143
253,363,144
254,375,144
255,391,137
256,342,139
257,368,111
258,355,112
259,380,113
260,388,117
261,400,147
262,336,315
263,392,128
264,438,142
265,414,138
266,353,197
267,302,246
268,300,259
269,316,252
270,326,258
271,310,261
272,319,263
273,342,277
274,297,206
275,299,193
276,408,104
277,333,164
278,328,204
279,330,197
280,390,197
281,300,177
282,378,90
283,395,94
284,423,63
285,324,99
286,344,116
287,352,267
288,424,258
289,319,211
290,309,214
291,336,267
292,332,266
293,403,86
294,329,210
295,355,90
296,357,80
297,371,31
298,412,74
299,363,55
300,416,99
301,426,94
302,300,253
303,313,258
304,322,261
305,316,213
306,333,267
307,329,267
308,331,265
309,312,206
310,317,262
311,309,261
312,299,260
313,306,293
314,302,281
315,302,273
316,301,267
317,300,263
318,319,264
319,321,265
320,323,269
321,325,273
322,339,243
323,439,197
324,325,264
325,327,266
326,305,220
327,325,218
328,307,217
329,345,172
330,363,181
331,332,203
332,402,44
333,392,61
334,383,79
335,333,284
336,328,82
337,332,55
338,338,26
339,385,142
340,412,156
341,335,136
342,402,122
343,324,155
344,320,199
345,425,166
346,402,166
347,385,170
348,363,167
349,347,161
350,334,154
351,308,137
352,420,192
353,412,120
354,294,213
355,330,177
356,445,142
357,325,147
358,334,203
359,395,130
360,322,191
361,434,228
362,336,131
363,312,182
364,391,289
365,392,302
366,435,195
367,407,272
368,433,116
369,339,328
370,294,215
371,340,187
372,425,141
373,375,136
374,364,137
375,331,270
376,417,218
377,319,343
378,356,329
379,373,318
380,355,136
381,345,134
382,339,132
383,421,118
384,346,122
385,357,119
386,367,118
387,378,120
388,384,124
389,442,111
390,382,135
391,329,236
392,319,210
393,306,230
394,374,305
395,357,317
396,318,335
397,408,284
398,339,127
399,314,158
400,338,338
401,429,223
402,310,263
403,311,266
404,313,270
405,315,278
406,320,289
407,327,265
408,330,264
409,333,263
410,347,255
411,399,224
412,316,145
413,325,122
414,334,124
415,325,263
416,400,255
417,313,120
418,329,302
419,305,150
420,321,178
421,311,307
422,356,283
423,344,214
424,344,294
425,371,212
426,353,227
427,380,233
428,315,323
429,328,186
430,369,291
431,353,305
432,366,267
433,413,239
434,383,269
435,421,249
436,361,245
437,322,167
438,316,204
439,325,208
440,310,195
441,335,111
442,354,105
443,371,103
444,386,106
445,396,111
446,403,134
447,439,169
448,392,152
449,380,155
450,364,155
451,349,151
452,338,146
453,330,142
454,443,170
455,325,212
456,312,169
457,306,205
458,300,210
459,306,206
460,321,216
461,297,212
462,298,214
463,331,131
464,323,135
465,319,136
466,388,126
467,394,122
