,x,y
0,300,240
1,302,196
2,301,210
3,291,156
4,302,182
5,302,166
6,301,128
7,211,132
8,300,101
9,300,84
10,300,25
11,300,246
12,300,250
13,300,251
14,300,259
15,300,262
16,300,268
17,300,276
18,300,290
19,302,203
20,290,202
21,169,91
22,248,143
23,235,144
24,223,143
25,207,137
26,258,139
27,232,111
28,245,112
29,220,114
30,211,118
31,198,144
32,253,312
33,207,130
34,164,145
35,185,138
36,237,189
37,283,238
38,284,250
39,264,239
40,252,243
41,270,249
42,259,248
43,237,263
44,292,195
45,291,183
46,192,105
47,264,159
48,262,193
49,261,186
50,198,189
51,291,168
52,221,90
53,203,95
54,180,66
55,275,100
56,256,116
57,227,249
58,175,263
59,270,200
60,281,204
61,236,248
62,241,248
63,196,87
64,261,198
65,245,91
66,243,80
67,230,32
68,189,76
69,237,55
70,184,100
71,177,96
72,283,245
73,268,246
74,255,246
75,273,202
76,239,248
77,246,253
78,243,248
79,278,196
80,261,248
81,272,249
82,285,250
83,282,289
84,282,275
85,282,267
86,284,261
87,284,258
88,259,253
89,258,255
90,255,257
91,253,262
92,243,231
93,163,203
94,301,206
95,252,252
96,249,252
97,285,210
98,264,206
99,283,207
100,250,166
101,229,174
102,258,192
103,200,46
104,208,62
105,217,80
106,248,273
107,271,82
108,267,53
109,262,26
110,212,141
111,185,153
112,265,135
113,197,122
114,273,151
115,270,188
116,173,164
117,193,160
118,209,164
119,232,162
120,250,157
121,264,151
122,289,133
123,172,188
124,187,121
125,296,202
126,265,169
127,161,147
128,273,144
129,257,193
130,203,131
131,270,181
132,167,233
133,264,131
134,280,173
135,201,285
136,203,302
137,162,197
138,185,270
139,170,119
140,252,326
141,296,205
142,253,179
143,175,142
144,223,135
145,234,137
146,243,255
147,173,214
148,275,343
149,238,328
150,223,317
151,300,53
152,299,344
153,245,136
154,255,134
155,261,132
156,179,119
157,253,122
158,243,119
159,232,118
160,221,120
161,214,124
162,162,116
163,216,134
164,301,221
165,257,224
166,270,198
167,283,221
168,301,115
169,218,301
170,235,314
171,273,334
172,189,285
173,261,127
174,281,152
175,299,335
176,255,336
177,166,225
178,271,256
179,269,259
180,268,263
181,266,269
182,263,282
183,248,248
184,245,246
185,241,244
186,231,238
187,187,217
188,282,141
189,274,121
190,266,124
191,251,247
192,187,249
193,285,118
194,257,297
195,302,153
196,291,144
197,302,141
198,273,171
199,300,321
200,300,305
201,278,305
202,228,271
203,246,204
204,243,286
205,215,204
206,233,217
207,203,225
208,275,321
209,265,178
210,221,284
211,237,299
212,218,254
213,176,235
214,203,260
215,173,249
216,220,232
217,273,161
218,274,193
219,265,196
220,280,185
221,265,111
222,245,105
223,228,103
224,213,106
225,203,112
226,195,134
227,162,170
228,205,150
229,217,152
230,233,152
231,249,150
232,262,144
233,270,141
234,162,175
235,265,200
236,282,162
237,283,194
238,290,200
239,283,196
240,268,204
241,292,201
242,293,205
243,269,132
244,276,134
245,280,134
246,211,127
247,204,123
248,311,156
249,386,132
250,312,203
251,425,91
252,352,143
253,364,144
254,376,143
255,391,137
256,341,139
257,368,111
258,355,112
259,380,114
260,388,118
261,400,144
262,345,312
263,390,129
264,429,144
265,411,138
266,362,189
267,318,238
268,317,250
269,336,240
270,348,244
271,330,250
272,341,250
273,361,263
274,312,196
275,314,183
276,406,104
277,336,159
278,339,194
279,340,187
280,399,188
281,312,168
282,378,89
283,395,94
284,414,66
285,325,99
286,343,116
287,371,250
288,414,262
289,330,200
290,320,205
291,362,248
292,356,248
293,401,86
294,340,200
295,355,90
296,358,79
297,368,32
298,408,75
299,362,54
300,413,100
301,418,96
302,318,246
303,332,246
304,344,247
305,328,203
306,359,248
307,352,253
308,354,249
309,324,196
310,338,248
311,327,249
312,315,250
313,318,290
314,317,275
315,316,268
316,316,262
317,314,258
318,339,255
319,341,255
320,343,259
321,345,262
322,355,231
323,427,203
324,346,253
325,349,253
326,316,211
327,336,207
328,318,208
329,350,166
330,370,174
331,342,193
332,397,46
333,390,61
334,382,79
335,350,274
336,330,82
337,333,53
338,337,26
339,386,141
340,411,153
341,334,135
342,400,122
343,328,151
344,332,188
345,423,163
346,404,160
347,389,163
348,367,162
349,350,157
350,337,151
351,312,133
352,423,188
353,409,121
354,307,203
355,336,170
356,430,146
357,327,144
358,343,194
359,394,130
360,332,181
361,423,232
362,334,131
363,323,173
364,395,285
365,389,302
366,430,196
367,409,270
368,424,118
369,346,325
370,305,206
371,347,180
372,420,141
373,375,136
374,364,137
375,355,255
376,422,213
377,323,343
378,357,327
379,373,317
380,354,136
381,344,134
382,337,132
383,416,119
384,345,122
385,355,119
386,366,117
387,376,120
388,383,124
389,430,116
390,382,134
391,343,225
392,331,198
393,319,221
394,377,301
395,362,313
396,325,334
397,404,285
398,337,127
399,320,152
400,342,337
401,426,223
402,329,256
403,330,259
404,331,263
405,332,269
406,336,283
407,350,249
408,354,247
409,357,246
410,367,239
411,409,218
412,320,141
413,325,121
414,332,124
415,347,248
416,409,249
417,315,118
418,341,298
419,312,145
420,329,171
421,321,305
422,369,271
423,354,205
424,355,286
425,384,204
426,367,217
427,394,224
428,325,321
429,336,178
430,377,284
431,361,298
432,380,255
433,418,235
434,393,260
435,420,248
436,378,232
437,327,161
438,328,194
439,336,197
440,323,185
441,335,111
442,355,105
443,371,103
444,386,105
445,396,112
446,402,134
447,431,169
448,393,149
449,382,152
450,366,152
451,350,150
452,338,145
453,330,140
454,429,175
455,336,201
456,321,162
457,320,194
458,312,201
459,320,196
460,332,205
461,311,202
462,309,205
463,330,132
464,323,133
465,320,134
466,387,126
467,393,123
