,x,y
0,301,242
1,296,197
2,300,211
3,287,155
4,296,184
5,297,167
6,300,128
7,219,127
8,300,100
9,299,83
10,300,25
11,301,249
12,302,254
13,303,255
14,304,257
15,303,263
16,303,269
17,304,277
18,305,290
19,297,203
20,288,203
21,183,85
22,254,138
23,242,139
24,231,139
25,216,131
26,264,134
27,235,109
28,249,109
29,225,110
30,218,114
31,208,140
32,262,309
33,215,124
34,182,137
35,195,132
36,245,189
37,287,241
38,291,253
39,273,244
40,265,250
41,282,254
42,274,255
43,253,269
44,287,197
45,285,185
46,198,100
47,268,157
48,263,195
49,263,189
50,212,190
51,286,169
52,223,87
53,208,90
54,192,62
55,275,97
56,260,114
57,245,257
58,200,251
59,271,202
60,283,205
61,258,259
62,263,258
63,200,82
64,264,200
65,245,88
66,242,77
67,233,32
68,196,71
69,238,53
70,192,94
71,188,90
72,288,249
73,277,251
74,271,253
75,275,203
76,261,258
77,265,259
78,265,256
79,276,197
80,277,255
81,284,255
82,294,254
83,290,288
84,289,275
85,290,267
86,291,261
87,293,257
88,275,257
89,273,258
90,271,262
91,268,266
92,256,235
93,188,191
94,299,206
95,271,257
96,268,257
97,286,212
98,270,208
99,284,209
100,256,166
101,237,174
102,262,194
103,207,44
104,211,59
105,218,76
106,262,277
107,270,80
108,266,53
109,263,27
110,221,136
111,196,150
112,270,130
113,206,116
114,275,149
115,269,189
116,186,159
117,204,158
118,218,163
119,239,160
120,255,154
121,268,148
122,288,131
123,189,185
124,197,115
125,292,203
126,268,169
127,183,138
128,276,141
129,262,195
130,212,126
131,270,181
132,192,219
133,270,126
134,277,174
135,218,279
136,221,292
137,183,188
138,205,263
139,185,112
140,259,322
141,295,205
142,258,179
143,188,135
144,230,131
145,240,132
146,262,263
147,193,209
148,283,341
149,248,321
150,235,310
151,300,53
152,309,344
153,250,131
154,260,129
155,267,128
156,190,113
157,259,119
158,249,115
159,238,115
160,228,117
161,221,120
162,182,108
163,223,128
164,301,221
165,264,227
166,271,199
167,284,223
168,301,114
169,231,296
170,245,308
171,281,331
172,210,275
173,267,123
174,281,152
175,307,335
176,264,333
177,188,216
178,283,257
179,281,260
180,279,265
181,277,271
182,275,283
183,268,256
184,264,256
185,260,254
186,247,245
187,206,216
188,283,140
189,278,117
190,271,120
191,271,254
192,207,245
193,286,115
194,268,295
195,297,153
196,288,143
197,299,141
198,273,171
199,306,321
200,306,304
201,286,303
202,241,273
203,254,205
204,254,286
205,227,204
206,243,218
207,219,224
208,282,318
209,267,178
210,233,282
211,247,296
212,233,258
213,197,230
214,220,259
215,195,240
216,235,236
217,275,160
218,272,194
219,266,198
220,276,186
221,268,108
222,247,102
223,231,101
224,217,102
225,208,107
226,205,128
227,181,162
228,213,146
229,224,149
230,240,149
231,255,146
232,267,140
233,274,137
234,186,165
235,268,202
236,280,162
237,279,195
238,287,202
239,281,197
240,272,206
241,288,202
242,292,204
243,273,127
244,280,130
245,283,131
246,218,122
247,212,118
248,309,156
249,396,128
250,310,203
251,448,84
252,359,138
253,372,140
254,385,139
255,401,132
256,348,134
257,374,109
258,361,109
259,387,110
260,396,115
261,411,140
262,355,311
263,400,125
264,453,138
265,426,133
266,366,189
267,316,240
268,315,253
269,332,244
270,342,249
271,326,254
272,335,255
273,361,269
274,308,197
275,309,184
276,416,101
277,341,157
278,340,194
279,341,188
280,405,190
281,309,169
282,385,87
283,403,91
284,432,60
285,327,98
286,350,113
287,371,258
288,447,255
289,331,202
290,321,205
291,356,258
292,350,256
293,411,83
294,341,200
295,359,88
296,361,77
297,375,31
298,421,71
299,367,53
300,425,96
301,436,90
302,315,247
303,328,250
304,339,253
305,328,203
306,352,257
307,347,259
308,349,256
309,322,196
310,334,254
311,324,254
312,314,254
313,322,289
314,320,276
315,317,267
316,316,261
317,316,256
318,336,257
319,338,258
320,341,261
321,343,266
322,354,235
323,459,193
324,343,256
325,345,257
326,316,211
327,337,208
328,319,208
329,355,166
330,374,174
331,344,193
332,409,42
